Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2021-09-27,28.84,30.26,27.5,27.71,11094418.1,320340017.821,449178.0,43160.9,44350.0,42098.0,42147.35,39776.84383,1728912299.8034244,1001487.0,3059.36,3164.94,2922.71,2925.59,510130.7319,1564096695.372967,1043885.0,344.0,357.6,335.0,335.5,956544.069,332372476.5115,457187.0,31.846,30.83296621,38.30029593,31.846,25.39170407,44.10506774,0.01533379,0.96198295,21.20275763,24.79276564,33.77710793,-86.29920354,4.00134556,29.23077276,0.0,0.0,0.0,pos,139.0,61.0,28.0,50.0,17.834,pos,135.0,71.0,26.0,38.0,30.6221,neu,1.0,0.0,0.0,1.0,0.0,81.0,525.0,364.0,270000.0,Lateral
2021-09-28,27.72,28.38,26.14,26.31,9784154.53,267560973.6882,362304.0,42147.35,42787.38,40888.0,41026.54,43372.2624,1816305387.8388584,1045389.0,2924.76,2970.82,2789.0,2804.91,511325.4643,1477983245.669702,928494.0,335.5,344.6,330.0,333.0,922077.227,310828343.6974,417006.0,31.7735,30.40220753,38.43888003,31.7735,25.10811997,41.82616106,-0.33105913,0.70337453,21.98379961,16.09949418,24.473925,-109.45883344,3.87553516,19.1943783,4.0,2.0,5273.0,pos,93.0,40.0,21.0,32.0,10.1816,pos,122.0,57.0,23.0,42.0,19.8853,neu,2.0,1.0,1.0,0.0,0.0196,87.0,472.0,331.0,204000.0,Bajista
2021-09-29,26.31,28.59,26.11,27.28,10207287.33,280535376.3754,376232.0,41025.01,42590.0,40753.88,41524.28,33511.53487,1399625476.0563765,884909.0,2805.15,2950.0,2782.0,2850.45,411305.0893,1180681056.162314,748804.0,332.9,375.4,331.2,367.7,1696420.045,612547661.8839,653011.0,31.6465,30.10485443,38.54851789,31.6465,24.74448211,43.9857206,-0.52129792,0.45844004,22.60823115,12.88255723,17.92493902,-92.92616568,3.77585408,23.81972421,22.0,40.0,54144.0,pos,112.0,61.0,19.0,32.0,23.1317,pos,145.0,71.0,20.0,54.0,30.2989,neu,0.0,0.0,0.0,0.0,0.0,64.0,594.0,495.0,216000.0,Alcista
2021-09-30,27.28,28.99,27.13,28.62,8201551.44,230622998.4301,339737.0,41524.29,44141.37,41410.17,43824.1,46381.22781,2005486003.5646768,1197815.0,2850.45,3048.42,2837.19,3000.61,506896.7612,1514341937.307116,992243.0,367.7,388.8,366.4,387.5,1163674.206,439628574.4184,551245.0,31.618,29.96343972,38.56491759,31.618,24.67108241,46.9173419,-0.5575101,0.25525001,22.98784301,16.42209732,15.13471625,-60.02959674,3.63900736,28.33650987,15.0,23.0,39220.0,pos,116.0,46.0,28.0,42.0,7.6784,pos,147.0,73.0,26.0,48.0,30.8979,pos,2.0,1.0,0.0,1.0,0.7506,77.0,419.0,464.0,202000.0,Alcista
2021-10-01,28.61,32.33,28.5,31.94,13176348.21,402700970.6451,735059.0,43820.01,48495.0,43283.03,48141.61,66244.87492,3076094886.5924745,1771237.0,3000.62,3330.0,2969.07,3309.91,648714.6151,2063112280.6677911,1446386.0,387.5,423.4,381.5,421.5,1440336.041,584311192.716,727854.0,31.6365,30.15168356,38.58477828,31.6365,24.68822172,53.42178245,-0.31468477,0.14126306,21.86331886,34.90484958,21.40316805,34.16969653,3.65264969,35.01624902,24.0,35.0,63183.0,pos,171.0,72.0,21.0,78.0,30.7202,pos,141.0,70.0,18.0,53.0,30.4285,pos,1.0,1.0,0.0,0.0,0.8201,71.0,477.0,664.0,492000.0,Alcista
2021-10-02,31.94,33.39,31.52,32.01,8748363.88,283814409.5519,522276.0,48141.6,48336.59,47430.18,47634.9,30508.98131,1459064880.5324447,996116.0,3309.91,3469.0,3257.0,3387.76,422551.1811,1417055615.816637,1046194.0,421.4,438.2,410.6,427.1,1039006.518,441907791.7276,604611.0,31.4475,30.32866607,38.13429856,31.4475,24.76070144,53.55101685,-0.11526681,0.08995709,20.41806319,52.81704111,34.71466267,96.94790226,3.52531757,34.38818088,9.0,24.0,48971.0,pos,97.0,37.0,26.0,34.0,8.9682,pos,111.0,57.0,21.0,33.0,23.8329,neu,0.0,0.0,0.0,0.0,0.0,26.0,317.0,304.0,347000.0,Lateral
2021-10-03,32.01,32.69,31.17,32.11,7871434.22,252056591.1485,350329.0,47634.89,49228.08,47088.0,48200.01,30825.05601,1482764462.1905775,1114294.0,3387.77,3488.0,3342.51,3417.73,360586.8905,1231536168.3153627,816339.0,427.0,437.2,421.5,430.5,820910.792,352575425.7036,519696.0,31.311,30.49831692,37.82442583,31.311,24.79757417,53.74844463,0.05026313,0.08201829,19.20445881,69.9251015,52.5489974,97.85997093,3.3820806,34.47312094,14.0,19.0,40780.0,pos,119.0,52.0,26.0,41.0,12.8051,pos,125.0,53.0,33.0,39.0,13.1734,neu,0.0,0.0,0.0,0.0,0.0,45.0,286.0,229.0,209000.0,Lateral
2021-10-04,32.1,32.11,30.04,31.15,9287969.05,288547980.6628,414743.0,48200.01,49536.12,46891.0,49224.94,46796.49372,2258464361.1263566,1437692.0,3417.73,3437.19,3270.0,3386.31,485204.642,1631562261.554976,1090407.0,430.5,430.9,410.9,426.3,974423.359,410376184.3993,557908.0,31.0005,30.56038198,36.89339224,31.0005,25.10760776,51.48600421,0.10279783,0.0861742,18.48969154,72.53510467,65.09241576,53.1121914,3.28836056,37.76142589,10.0,13.0,40810.0,pos,126.0,58.0,15.0,53.0,23.1594,pos,149.0,67.0,36.0,46.0,17.9097,neu,0.0,0.0,0.0,0.0,0.0,62.0,412.0,302.0,251000.0,Bajista
2021-10-05,31.15,32.16,30.52,31.39,8537858.77,268161491.1291,374395.0,49224.93,51886.3,49022.4,51471.99,52125.66793,2618101829.0177226,1641651.0,3386.31,3545.0,3363.78,3515.27,393900.8818,1355905889.610947,1025512.0,426.4,444.0,424.0,442.1,883699.828,385403145.0597,623411.0,30.7465,30.63939322,36.08647856,30.7465,25.40652144,52.02964109,0.1619313,0.10132562,17.80383494,73.20379109,71.88799909,55.61122972,3.17062052,45.54264092,12.0,13.0,45695.0,pos,178.0,91.0,29.0,58.0,31.0633,pos,141.0,67.0,23.0,51.0,24.6648,neu,0.0,0.0,0.0,0.0,0.0,109.0,378.0,347.0,222000.0,Lateral
2021-10-06,31.39,33.09,29.11,32.19,14373589.09,448633539.3,704071.0,51471.99,55750.0,50382.41,55315.0,79877.545181,4236927265.3815217,2443126.0,3515.48,3632.11,3342.0,3574.89,618265.5402,2172519696.562985,1444856.0,442.0,442.8,414.7,434.9,1245088.683,537791098.8015,758834.0,30.581,30.78707006,35.51084746,30.581,25.65115254,53.88466972,0.27023324,0.13510715,17.68354865,74.06312157,73.26733911,53.42835456,3.22843334,44.61951469,49.0,27.0,71162.0,pos,250.0,113.0,41.0,96.0,40.8687,pos,131.0,72.0,22.0,37.0,28.7658,pos,3.0,1.0,0.0,2.0,0.3164,80.0,523.0,493.0,467000.0,Alcista
