SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,Open,High,Low,Close
6.9703158571317685,7.050263202483184,7.522178960709073,6.9703158571317685,6.4184527535544635,37.51618836669864,-0.2083161978620831,-0.2517759441222666,27.58661926156443,55.345827928238464,63.40019557038275,-112.95550480973839,0.49255098702278205,6.525449325970512,6.7511323107024905,6.203238092863394,6.46631714263497
6.931448106134276,6.984775752727655,7.536926688845471,6.931448106134276,6.3259695234230815,36.201644386122126,-0.23985141103397645,-0.2493910375046086,28.34416875052108,40.91561113480125,54.48286650164641,-119.38878677683539,0.49659100141339446,6.431748922532952,6.65009409265114,6.1009829041597845,6.362644980050134
6.872546752115516,6.918413578146434,7.487680683698436,6.872546752115516,6.257412820532597,35.24374665585522,-0.2677818830284018,-0.2530692066093672,29.181893237665868,23.568427854862605,39.94328897263409,-113.54199350451307,0.50011953495902,6.345364786427298,6.566039928274901,6.02004945722275,6.287972919624831
6.82302745385866,6.854908859738475,7.4698608617634425,6.82302745385866,6.176194045953877,34.76143731426063,-0.28951350992210045,-0.26035806727191385,30.03349373019486,19.775053390212918,28.08636412662558,-106.70596469707185,0.5028916353552918,6.287846305355912,6.515685224071666,5.976756283564839,6.251614034862866
6.788360462991799,6.796123271445553,7.4810260466987595,6.788360462991799,6.095694879284838,34.565931303686604,-0.3043535418813059,-0.26915716219379227,30.85303051815637,18.374835294048058,20.572772179707844,-104.56197940788354,0.5048881876739716,6.258235367615019,6.491527482538669,5.960684114721859,6.237660182662787
6.756347083154917,6.741419379237629,7.490387341063283,6.756347083154917,6.022306825246551,34.32859497831433,-0.3137825232045781,-0.2780822343959494,31.637430928174492,18.204409036459293,18.784765906906742,-92.6688432098319,0.5062982445819785,6.239653974593968,6.473018953571556,5.948389969185487,6.221732403262358
6.727571930923675,6.688760100774537,7.502157047475149,6.727571930923675,5.952986814372202,33.80697614228347,-0.3202452933240165,-0.28651484618156287,32.41973988224601,17.815985062692402,18.13174313106657,-82.97256954264299,0.5073718642676484,6.21412661354745,6.442910930282764,5.921582010101408,6.188496955375162
6.694157644566689,6.636374783830321,7.508777156555305,6.694157644566689,5.879538132578072,32.99816255780762,-0.3256304663153742,-0.29433797020832514,33.23914916323147,17.17543880898179,17.731944302711153,-79.35138393240787,0.5082718429928811,6.174055748386794,6.397068529334691,5.877096962913785,6.138714272860259
6.661970021493767,6.583791236659962,7.518491932175729,6.661970021493767,5.805448110811805,32.09347912935899,-0.33048365511390987,-0.3015671071894421,34.11219128785416,16.44897173846684,17.146798536713664,-79.5745765173215,0.5090182569347521,6.12404368943777,6.34336489974219,5.824643261563115,6.0842475385415495
6.634493222490633,6.53176007316257,7.533096212645884,6.634493222490633,5.735890232335382,31.29971139893875,-0.3342518340884375,-0.30810405256924117,35.026513517279696,15.832037547991675,16.485482698480087,-83.30998618010452,0.5095356013870247,6.074553915078727,6.293336639694232,5.777075560427663,6.037464019937344
