Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI
2022-01-05,,,,,,,,,,,,
2022-01-06,,,,,,,,,,,,
2022-01-07,,,,,,,,,,,,
2022-01-08,,,,,,,,,,,,
2022-01-09,,,,,,,,,,,,
2022-01-10,,,,,,,,,,,,
2022-01-11,,,,,,,,,,,,
2022-01-12,,,,,,,,,,,,
2022-01-13,,,,,,,,,,,,
2022-01-14,,,,,,,,,,,,
2022-01-15,,,,,,,,,,,,
2022-01-16,,,,,,,,,,,,
2022-01-17,,,,,,,,,,,,
2022-01-18,,,,,,,,,,,,-49.36739512077019
2022-01-19,,,,,,41.257367387033405,,,,,,-83.24986087924322
2022-01-20,,,,,,38.438071995118975,,,,,,-97.46952835188158
2022-01-21,,,,,,31.090216232789707,,,,,,-203.44135447789802
2022-01-22,,,,,,28.620523875250072,,,,11.118875225608015,16.339552000653377,-229.19302958538088
2022-01-23,,,,,,30.90057180371984,,,,15.072463768115938,13.519851553252082,-160.6664221425953
2022-01-24,24.2535,24.2535,30.44396129137403,24.2535,18.063038708625967,29.41999406344137,,,,18.62084491098074,14.93739463490156,-143.08153463517564
2022-01-25,23.833000000000002,23.68745238095238,30.425635588290902,23.833000000000002,17.240364411709102,30.732050812121454,,,,19.46987238859729,17.721060355897986,-101.52535703539117
2022-01-26,23.401000000000003,23.153409297052153,30.305259265120334,23.401000000000003,16.496740734879673,30.25172536093674,,,,18.24894514767932,18.779887482419113,-79.48337960531269
2022-01-27,23.062000000000005,22.674036983047188,30.296466393591146,23.062000000000005,15.827533606408863,30.455300588914437,,,,18.512658227848096,18.74382525470823,-78.14580807113848
2022-01-28,22.779500000000002,22.261271556090314,30.283199021149507,22.779500000000002,15.275800978850496,31.637141574843103,,,,18.591772151898734,18.451125175808713,-65.993444276349
2022-01-29,22.485000000000003,21.92591236027219,30.135962031012816,22.485000000000003,14.83403796898719,33.838654970120096,,,,20.332278481012654,19.145569620253156,-49.07425121697176
2022-01-30,22.2065,21.566301659293885,30.060185185949383,22.2065,14.352814814050614,32.19191641410089,,,,20.775506559006285,19.89985239730589,-49.57034397930187
2022-01-31,21.897,21.357130072694467,29.685270924922992,21.897,14.108729075077004,38.82172915613037,,,,25.67974574677,22.262510262262975,-33.34605638432102
2022-02-01,21.5095,21.186927208628326,28.943054936906066,21.5095,14.075945063093931,39.859829406224925,,,56.5458056176607,30.739777510862353,25.73167660554621,8.587281633360597
2022-02-02,21.157999999999998,20.95579128399706,28.411340196075248,21.157999999999998,13.904659803924748,37.11314028355768,,,56.171596380228074,34.23368605294518,30.217736436859173,17.700733854133038
2022-02-03,20.7165,20.76190639980686,27.360451459786592,20.7165,14.072548540213408,38.021658562063706,,,56.0078973318132,36.17430084052688,33.71592146811147,-2.7035056446818726
2022-02-04,20.3605,20.735058171253826,26.20599561628444,20.3605,14.515004383715555,46.184974585641314,,,54.34362993761446,56.07179739089158,42.15992809478788,191.34912461380003
2022-02-05,20.041999999999998,20.79171929780108,24.85639341973633,20.041999999999998,15.227606580263664,50.04577949332726,,,51.44801895295904,74.47540419676643,55.57383414272829,240.01694528627718
2022-02-06,19.853,20.898222221820024,24.018741710668095,19.853,15.687258289331906,52.54743634835136,,,48.75923732435043,92.38390092879258,74.31036750548351,179.98546511627913
2022-02-07,19.713,21.036486772122878,23.306099497648276,19.713,16.119900502351726,54.41257028804325,-1.4091582661545168,-2.55931801323423,45.71460037276024,90.99485483686026,85.95138665413974,168.530832797066
2022-02-08,19.593500000000002,21.095868984301653,22.73188987380471,19.593500000000002,16.455110126195294,51.025540208838784,-1.2038253279221536,-2.2882194761718146,42.55271645784283,87.5464382726277,90.30839801276016,124.81673134971965
2022-02-09,19.540000000000003,21.17626241436816,22.473387120718936,19.540000000000003,16.60661287928107,52.32250115999959,-1.0068969537751755,-2.0319549716924867,39.6235057076948,82.6428623447277,87.0613851514052,92.73622958407748
2022-02-10,19.582,21.112808851095004,22.54552897741861,19.582,16.618471022581392,45.670454733187334,-0.955207806466003,-1.81660553864719,37.29197328987475,70.01647446457991,80.06859169397842,53.86784850926678
2022-02-11,19.617500000000003,20.909684198609764,22.533949039499824,19.617500000000003,16.701050960500183,39.83503552163717,-1.0258763342839892,-1.6584596977745498,36.24761249000882,55.29928610653488,69.31954097194748,-38.734385625827514
2022-02-12,19.618000000000002,20.710666655885024,22.533898489316748,19.618000000000002,16.702101510683256,39.269954966084754,-1.0823160488504016,-1.5432309679897203,35.44591692769445,38.165842943437674,54.49386783818414,-71.7724882069078
2022-02-13,19.653500000000005,20.522031736276926,22.507341446191276,19.653500000000005,16.799658553808733,38.93537744889529,-1.1213805995921717,-1.4588608943102106,34.70148533411682,28.390993959362987,40.618707669778495,-77.17320896489186
