Open_time,Buy_1000x_high,sell_1000x_high,total_trades_binance
2022-04-03 03:00:00,423,443,103000.00000000
2022-04-04 03:00:00,462,421,123000.00000000
2022-04-05 03:00:00,420,334,119000.00000000
2022-04-06 03:00:00,445,390,134000.00000000
2022-04-07 03:00:00,242,232,65000.00000000
2022-04-08 03:00:00,263,187,66000.00000000
2022-04-09 03:00:00,115,127,30000.00000000
2022-04-10 03:00:00,314,270,61000.00000000
2022-04-11 03:00:00,520,383,95000.00000000
2022-04-12 03:00:00,298,304,68000.00000000
2022-04-13 03:00:00,218,238,58000.00000000
2022-04-14 03:00:00,232,214,51000.00000000
2022-04-15 03:00:00,133,141,44000.00000000
2022-04-16 03:00:00,147,136,40000.00000000
2022-04-17 03:00:00,176,173,39000.00000000
2022-04-18 03:00:00,295,269,65000.00000000
2022-04-19 03:00:00,187,194,52000.00000000
2022-04-20 03:00:00,257,336,92000.00000000
2022-04-21 03:00:00,272,232,79000.00000000
2022-04-22 03:00:00,181,309,40000.00000000
2022-04-23 03:00:00,182,397,57000.00000000
2022-04-24 03:00:00,215,196,52000.00000000
2022-04-25 03:00:00,292,251,67000.00000000
2022-04-26 03:00:00,365,318,71000.00000000
2022-04-27 03:00:00,152,172,46000.00000000
2022-04-28 03:00:00,211,215,54000.00000000
2022-04-29 03:00:00,220,201,52000.00000000
2022-04-30 03:00:00,368,328,86000.00000000
2022-05-01 03:00:00,209,206,59000.00000000
2022-05-02 03:00:00,298,301,51000.00000000
2022-05-03 03:00:00,193,190,34000.00000000
2022-05-04 03:00:00,364,403,70000.00000000
2022-05-05 03:00:00,490,424,99000.00000000
2022-05-06 03:00:00,375,395,67000.00000000
2022-05-07 03:00:00,368,321,60000.00000000
2022-05-08 03:00:00,452,408,61000.00000000
2022-05-09 03:00:00,1127,1113,206000.00000000
2022-05-10 03:00:00,781,864,155000.00000000
2022-05-11 03:00:00,1541,1195,345000.00000000
2022-05-12 03:00:00,1136,1056,236000.00000000
2022-05-13 03:00:00,1431,1432,209000.00000000
2022-05-14 03:00:00,857,875,127000.00000000
2022-05-15 03:00:00,613,571,91000.00000000
2022-05-16 03:00:00,441,418,86000.00000000
2022-05-17 03:00:00,462,465,74000.00000000
2022-05-18 03:00:00,636,733,87000.00000000
2022-05-19 03:00:00,583,814,71000.00000000
2022-05-20 03:00:00,585,642,55000.00000000
2022-05-21 03:00:00,225,205,31000.00000000
2022-05-22 03:00:00,266,251,40000.00000000
2022-05-23 03:00:00,593,726,70000.00000000
2022-05-24 03:00:00,520,567,46000.00000000
2022-05-25 03:00:00,453,529,40000.00000000
2022-05-26 03:00:00,1391,1293,82000.00000000
2022-05-27 03:00:00,1130,1077,94000.00000000
2022-05-28 03:00:00,550,490,41000.00000000
2022-05-29 03:00:00,504,531,48000.00000000
2022-05-30 03:00:00,768,626,63000.00000000
2022-05-31 03:00:00,775,624,59000.00000000
2022-06-01 03:00:00,782,694,71000.00000000
2022-06-02 03:00:00,420,422,42000.00000000
2022-06-03 03:00:00,315,278,43000.00000000
2022-06-04 03:00:00,200,195,24000.00000000
2022-06-05 03:00:00,167,201,25000.00000000
2022-06-06 03:00:00,349,324,51000.00000000
2022-06-07 03:00:00,239,266,45000.00000000
2022-06-08 03:00:00,233,203,34000.00000000
2022-06-09 03:00:00,386,336,45000.00000000
2022-06-10 03:00:00,424,416,54000.00000000
2022-06-11 03:00:00,585,797,58000.00000000
2022-06-12 03:00:00,822,894,67000.00000000
2022-06-13 03:00:00,1339,1431,136000.00000000
2022-06-14 03:00:00,975,1088,74000.00000000
2022-06-15 03:00:00,1192,1151,132000.00000000
2022-06-16 03:00:00,895,815,70000.00000000
2022-06-17 03:00:00,548,616,37000.00000000
2022-06-18 03:00:00,859,897,65000.00000000
2022-06-19 03:00:00,537,579,49000.00000000
2022-06-20 03:00:00,645,700,52000.00000000
2022-06-21 03:00:00,484,454,51000.00000000
2022-06-22 03:00:00,362,373,39000.00000000
2022-06-23 03:00:00,352,367,39000.00000000
2022-06-24 03:00:00,391,383,41000.00000000
2022-06-25 03:00:00,309,298,32000.00000000
2022-06-26 03:00:00,373,323,36000.00000000
2022-06-27 03:00:00,438,353,36000.00000000
2022-06-28 03:00:00,448,447,34000.00000000
2022-06-29 03:00:00,674,688,43000.00000000
2022-06-30 03:00:00,617,600,45000.00000000
2022-07-01 03:00:00,544,581,38000.00000000
2022-07-02 03:00:00,292,280,19000.00000000
2022-07-03 03:00:00,305,340,26000.00000000
2022-07-04 03:00:00,526,542,38000.00000000
