Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,Buy_1000x_high,sell_1000x_high
2022-03-03,18.61,18.67,17.77,18.02,7635060.13,139034673.9246,199171.0,43892.99,44101.12,41832.28,42454.0,50940.61021,2192152097.925188,1289320.0,2947.31,2970.97,2785.0,2833.99,446192.2353,1282099960.458349,770738.0,409.3,413.2,397.4,402.6,577002.325,233991241.5175,320905.0,17.952500000000008,18.29636974732676,20.247083840263592,17.952500000000008,15.657916159736422,46.330055041273695,-0.6237624388899725,-0.9504934490658672,25.01581597008251,75.79608179150885,74.654099876744,54.57659897775921,441.0,324.0
2022-03-04,18.02,18.06,16.5,16.79,8560042.35,147170903.4202,217361.0,42454.0,42527.3,38550.0,39148.66,61964.68498,2527001270.7194686,1465066.0,2834.0,2836.17,2573.0,2622.1,556178.7588,1499282207.482794,934846.0,402.6,403.5,372.0,374.2,756176.61,294267657.1117,366024.0,17.851000000000006,18.152905961867067,20.16263924521082,17.851000000000006,15.539360754789191,40.49212837251845,-0.6770306358873199,-0.8958008864301579,25.322214223669327,66.09621716870281,73.19519709877004,-24.82352941176489,405.0,302.0
2022-03-05,16.79,17.8,16.18,17.33,5101742.9,86612442.4466,160982.0,39148.65,39613.24,38407.59,39397.96,30363.13341,1187689935.0879936,879727.0,2622.11,2685.12,2589.38,2665.15,268730.3036,709708518.862464,531829.0,374.1,387.3,367.2,384.7,453970.242,171261274.7136,269443.0,17.781000000000006,18.074533965498773,20.06657126338226,17.781000000000006,15.49542873661775,43.838017755988986,-0.6679726063452165,-0.8502352304131696,25.78417562045169,60.43557168784028,67.44262354935061,-22.149253731343062,193.0,193.0
2022-03-06,17.33,17.59,16.51,16.99,5491289.2,93558590.641,158563.0,39397.97,39693.87,38088.57,38420.81,39677.26158,1542258009.6292188,986352.0,2665.16,2676.29,2535.0,2551.29,336487.9099,881200532.285509,528787.0,384.8,387.3,371.6,375.0,489079.158,185729892.8404,260216.0,17.695500000000006,17.971245016403653,19.96504158366818,17.695500000000006,15.42595841633183,42.22808267040587,-0.6803861432413427,-0.8162654129788043,26.213139774606752,54.204476709013896,60.24542185518563,-27.31062846840739,373.0,282.0
2022-03-07,16.99,17.14,16.0,16.41,7318888.43,121170466.3838,206090.0,38420.8,39547.57,37155.0,37988.0,63994.11559,2449362161.7015386,1456041.0,2551.3,2649.0,2445.0,2491.12,620171.6787,1575658962.135642,870430.0,375.0,385.9,362.8,380.6,949294.91,356471656.4455,394557.0,17.508000000000006,17.822555014841402,19.53924198459927,17.508000000000006,15.476758015400744,39.55914683180667,-0.7286259668124799,-0.7987375237455394,26.90862719286817,51.90562613430126,55.51522484371844,-68.34267547895932,255.0,261.0
2022-03-08,16.41,17.28,16.31,16.97,6275907.39,105512504.4025,167546.0,37988.01,39362.08,37867.65,38730.63,55583.06638,2149652714.804345,1271128.0,2491.12,2624.0,2480.15,2575.97,561659.7421,1438848034.008704,812094.0,380.6,388.7,375.3,381.4,647492.047,247897754.6279,298402.0,17.368500000000004,17.74135929914222,19.126820505482137,17.368500000000004,15.61017949451787,43.28623741501174,-0.7134449058860213,-0.7816790001736358,27.382445776498155,49.72776769509981,51.94595684613828,-45.15214624551643,273.0,270.0
2022-03-09,16.97,18.09,16.88,17.86,5742934.66,101623622.2622,163035.0,38730.63,42594.06,38656.45,41941.71,67392.58799,2797240840.960747,1570230.0,2575.98,2775.85,2567.7,2726.98,562771.7403,1524779168.022153,840331.0,381.4,402.7,381.0,393.2,1012850.747,399432781.3146,464185.0,17.353500000000004,17.75265841350963,19.08953312180353,17.353500000000004,15.617466878196478,48.700498222753374,-0.6224233350076176,-0.7498278671404321,26.87438480760783,54.99092558983666,52.2081064730792,13.056636402940166,253.0,250.0
2022-03-10,17.87,17.93,16.68,16.96,5040333.69,86136754.8538,144446.0,41941.7,42039.63,38539.73,39422.0,71962.93154,2854310740.807673,1512655.0,2726.98,2733.25,2550.27,2606.7,559029.9377,1460470256.475736,740676.0,393.2,394.5,363.0,372.0,791332.984,296391848.9077,385923.0,17.310500000000005,17.677167136032523,19.040777145430475,17.310500000000005,15.580222854569534,44.11416160168524,-0.6158118668264443,-0.7230246670776346,26.54924684713082,51.11949733849312,51.946063541143154,-41.19964417333822,192.0,176.0
2022-03-11,16.97,18.49,16.69,17.69,9499810.42,168964892.806,258063.0,39422.01,40236.26,38223.6,38729.57,59018.7642,2305825015.6010857,1252571.0,2606.69,2676.78,2522.57,2556.86,494583.6568,1281060913.835518,684407.0,372.1,380.0,364.7,371.9,510174.586,189829352.1348,273544.0,17.303000000000004,17.678389313553236,19.02531356030166,17.303000000000004,15.580686439698344,48.361990816750136,-0.5453805243275021,-0.6874958385276081,25.617851094348516,49.27861559131233,51.796346173214,-0.9152502080111716,539.0,592.0
2022-03-12,17.7,18.75,17.68,18.14,6497976.77,118947709.248,229172.0,38729.57,39486.71,38660.52,38807.36,24034.36432,939663387.3149891,671733.0,2556.86,2616.79,2553.39,2568.8,219236.5711,567134036.896676,327122.0,371.9,379.2,371.1,372.4,402475.646,151304077.1742,227739.0,17.364500000000003,17.722352236071977,19.113916759951483,17.364500000000003,15.615083240048524,50.84243781326828,-0.4480866745140588,-0.6396140057248982,24.47107336464804,46.26706695995091,48.88839329658541,61.67032628375568,333.0,340.0
