Open_time,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Close_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,RSI,ATR,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Tweets_Utilizados,Cantidad_neg,Cantidad_neu,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,Tendencia
2021-09-27,11094418.10000000,320340017.82099998,449178.00000000,43160.90000000,44350.00000000,42147.35000000,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000,1564096695.37296700,1043885.00000000,344.00000000,357.60000000,335.00000000,335.50000000,956544.06900000,332372476.51150000,457187.00000000,31.84600000,30.83296621,38.30029593,31.84600000,44.10506774,4.00134556,0.00000000,0.00000000,0.00000000,139,28.00000000,50.00000000,81.00000000,525.00000000,364.00000000,Lateral
2021-09-28,9784154.53000000,267560973.68820000,362304.00000000,42147.35000000,42787.38000000,41026.54000000,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000,1477983245.66970205,928494.00000000,335.50000000,344.60000000,330.00000000,333.00000000,922077.22700000,310828343.69739997,417006.00000000,31.77350000,30.40220753,38.43888003,31.77350000,41.82616106,3.87553516,4.00000000,2.00000000,5273.00000000,93,21.00000000,32.00000000,87.00000000,472.00000000,331.00000000,Bajista
2021-09-29,10207287.33000000,280535376.37540001,376232.00000000,41025.01000000,42590.00000000,41524.28000000,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000,1180681056.16231394,748804.00000000,332.90000000,375.40000000,331.20000000,367.70000000,1696420.04500000,612547661.88390005,653011.00000000,31.64650000,30.10485443,38.54851789,31.64650000,43.98572060,3.77585408,22.00000000,40.00000000,54144.00000000,112,19.00000000,32.00000000,64.00000000,594.00000000,495.00000000,Alcista
2021-09-30,8201551.44000000,230622998.43009999,339737.00000000,41524.29000000,44141.37000000,43824.10000000,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000,1514341937.30711603,992243.00000000,367.70000000,388.80000000,366.40000000,387.50000000,1163674.20600000,439628574.41839999,551245.00000000,31.61800000,29.96343972,38.56491759,31.61800000,46.91734190,3.63900736,15.00000000,23.00000000,39220.00000000,116,28.00000000,42.00000000,77.00000000,419.00000000,464.00000000,Alcista
2021-10-01,13176348.21000000,402700970.64510000,735059.00000000,43820.01000000,48495.00000000,48141.61000000,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000,2063112280.66779113,1446386.00000000,387.50000000,423.40000000,381.50000000,421.50000000,1440336.04100000,584311192.71599996,727854.00000000,31.63650000,30.15168356,38.58477828,31.63650000,53.42178245,3.65264969,24.00000000,35.00000000,63183.00000000,171,21.00000000,78.00000000,71.00000000,477.00000000,664.00000000,Alcista
2021-10-02,8748363.88000000,283814409.55190003,522276.00000000,48141.60000000,48336.59000000,47634.90000000,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000,1417055615.81663704,1046194.00000000,421.40000000,438.20000000,410.60000000,427.10000000,1039006.51800000,441907791.72759998,604611.00000000,31.44750000,30.32866607,38.13429856,31.44750000,53.55101685,3.52531757,9.00000000,24.00000000,48971.00000000,97,26.00000000,34.00000000,26.00000000,317.00000000,304.00000000,Lateral
2021-10-03,7871434.22000000,252056591.14850000,350329.00000000,47634.89000000,49228.08000000,48200.01000000,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000,1231536168.31536269,816339.00000000,427.00000000,437.20000000,421.50000000,430.50000000,820910.79200000,352575425.70359999,519696.00000000,31.31100000,30.49831692,37.82442583,31.31100000,53.74844463,3.38208060,14.00000000,19.00000000,40780.00000000,119,26.00000000,41.00000000,45.00000000,286.00000000,229.00000000,Lateral
2021-10-04,9287969.05000000,288547980.66280001,414743.00000000,48200.01000000,49536.12000000,49224.94000000,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,1631562261.55497599,1090407.00000000,430.50000000,430.90000000,410.90000000,426.30000000,974423.35900000,410376184.39929998,557908.00000000,31.00050000,30.56038198,36.89339224,31.00050000,51.48600421,3.28836056,10.00000000,13.00000000,40810.00000000,126,15.00000000,53.00000000,62.00000000,412.00000000,302.00000000,Bajista
2021-10-05,8537858.77000000,268161491.12909999,374395.00000000,49224.93000000,51886.30000000,51471.99000000,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,1355905889.61094689,1025512.00000000,426.40000000,444.00000000,424.00000000,442.10000000,883699.82800000,385403145.05970001,623411.00000000,30.74650000,30.63939322,36.08647856,30.74650000,52.02964109,3.17062052,12.00000000,13.00000000,45695.00000000,178,29.00000000,58.00000000,109.00000000,378.00000000,347.00000000,Lateral
2021-10-06,14373589.09000000,448633539.30000001,704071.00000000,51471.99000000,55750.00000000,55315.00000000,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,2172519696.56298494,1444856.00000000,442.00000000,442.80000000,414.70000000,434.90000000,1245088.68300000,537791098.80149996,758834.00000000,30.58100000,30.78707006,35.51084746,30.58100000,53.88466972,3.22843334,49.00000000,27.00000000,71162.00000000,250,41.00000000,96.00000000,80.00000000,523.00000000,493.00000000,Alcista
2021-10-07,20356598.29000000,682316606.88329995,1286323.00000000,55315.00000000,55332.31000000,53785.22000000,3574.88000000,3653.98000000,3470.80000000,3587.47000000,486102.35910000,1736906584.27608991,1252503.00000000,434.90000000,450.00000000,423.60000000,438.50000000,1159098.74470000,509653579.83039999,736772.00000000,30.62850000,31.09115862,35.66888600,30.62850000,57.81545022,3.31068810,31.00000000,37.00000000,82810.00000000,113,22.00000000,40.00000000,145.00000000,639.00000000,759.00000000,Alcista
2021-10-08,11134583.44000000,375707512.13650000,489045.00000000,53785.22000000,56100.00000000,53951.43000000,3587.47000000,3695.00000000,3532.00000000,3563.13000000,403597.14370000,1455713871.28828311,1084792.00000000,438.50000000,441.60000000,415.70000000,419.20000000,1505999.18800000,644030609.22689998,944084.00000000,30.55250000,31.30628637,35.37594638,30.55250000,56.00602588,3.17849609,31.00000000,22.00000000,57182.00000000,96,15.00000000,33.00000000,98.00000000,499.00000000,387.00000000,Bajista
2021-10-09,12546752.37000000,441329764.12360001,853574.00000000,53955.67000000,55489.00000000,54949.72000000,3563.13000000,3635.00000000,3538.07000000,3574.82000000,361906.75140000,1299757023.49916291,1175683.00000000,419.30000000,426.00000000,416.00000000,421.90000000,632123.52600000,266856749.21730000,455659.00000000,30.67650000,31.78473529,35.94008538,30.67650000,62.05535735,3.23003209,25.00000000,35.00000000,74042.00000000,100,18.00000000,38.00000000,23.00000000,440.00000000,594.00000000,Alcista
2021-10-10,13147574.66000000,473745609.48130000,784594.00000000,54949.72000000,56561.31000000,54659.00000000,3574.83000000,3604.00000000,3405.00000000,3414.22000000,580223.63020000,2049128230.34425926,1765439.00000000,421.90000000,422.30000000,402.00000000,404.10000000,729380.96300000,302884829.94520003,500068.00000000,30.98250000,32.03666526,36.37030800,30.98250000,56.70190595,3.23645836,38.00000000,27.00000000,68739.00000000,97,17.00000000,45.00000000,12.00000000,557.00000000,431.00000000,Bajista
2021-10-11,11467492.31000000,399306003.06629997,469155.00000000,54659.01000000,57839.04000000,57471.35000000,3414.22000000,3623.80000000,3371.00000000,3542.12000000,493521.88200000,1743391083.65880799,1110340.00000000,404.00000000,424.00000000,399.80000000,413.10000000,759924.88400000,314882971.60979998,509680.00000000,31.36950000,32.23603047,36.48736469,31.36950000,55.88215846,3.20813991,5.00000000,25.00000000,60922.00000000,175,38.00000000,69.00000000,52.00000000,510.00000000,412.00000000,Lateral
2021-10-12,13326459.40000000,447030078.01770002,620021.00000000,57471.35000000,57680.00000000,55996.93000000,3542.12000000,3547.11000000,3403.21000000,3491.46000000,409377.19180000,1425455761.40661812,925699.00000000,413.20000000,444.50000000,392.20000000,444.20000000,1966630.18300000,829580710.11619985,953219.00000000,31.54800000,32.51545614,36.92789071,31.54800000,58.14140611,3.21898706,18.00000000,16.00000000,67722.00000000,128,24.00000000,39.00000000,82.00000000,425.00000000,463.00000000,Alcista
2021-10-13,36492731.21300000,1421849266.39025903,2504028.00000000,55996.91000000,57777.00000000,57367.00000000,3491.43000000,3613.00000000,3412.70000000,3607.42000000,393463.12220000,1376610269.51640797,902525.00000000,444.10000000,471.80000000,432.30000000,470.80000000,3383303.43900000,1542057671.38910007,1576761.00000000,31.96200000,33.38922223,38.90003027,31.96200000,68.89546179,3.67834513,69.00000000,118.00000000,160524.00000000,144,26.00000000,60.00000000,113.00000000,817.00000000,1083.00000000,Alcista
