Open,High,Close,Volume,Quote asset volume,Number of trades,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_BNBUSDT,RSI,ATR,total_trades_coinbase,sell_1000x_high,Tendencia
0.95675654,0.98930585,0.99043272,0.46210172,0.6267173,1681025.0,0.10934896,0.43313978,1110367.0,71.52069013,4.01505667,150540.0,443.0,Alcista fuerte
0.99043463,1.0,1.0,0.3742244,0.52812139,1168396.0,0.08680303,0.34727077,949944.0,72.05286625,3.93755262,119018.0,387.0,Alcista fuerte
1.0,0.97744507,0.95894042,0.2247996,0.3179925,712132.0,0.06926674,0.28340187,1493105.0,66.32474532,3.89701315,90525.0,172.0,Bajista fuerte
0.95855005,0.94808478,0.9641227,0.20724915,0.28770219,650701.0,0.07389206,0.29542277,1130633.0,66.68473906,3.86294078,83250.0,199.0,Alcista fuerte
0.96412985,0.96966751,0.96810907,0.17898448,0.26052252,581999.0,0.05187379,0.22585953,1237108.0,66.97718092,3.74701644,71764.0,218.0,Alcista leve
0.96791614,0.97627844,0.99083136,0.19840522,0.28873483,549923.0,0.09321703,0.38864658,1107452.0,68.66558888,3.63937241,87065.0,158.0,Alcista fuerte
0.99063391,0.96694536,0.93940723,0.26894277,0.37552229,687062.0,0.07084077,0.30865892,913767.0,61.05709148,3.58441724,95230.0,133.0,Bajista fuerte
0.9394193,0.94147385,0.85888262,0.52883058,0.67106279,1301900.0,0.1387614,0.55458,1566685.0,51.44441506,4.01267315,156145.0,249.0,Bajista fuerte
0.85871146,0.89014194,0.8728349,0.24104099,0.3118882,866544.0,0.06871662,0.29449696,964876.0,52.83013109,4.00391078,102407.0,165.0,Alcista fuerte
0.87266097,0.85669843,0.84213988,0.2795152,0.344157,872012.0,0.11297068,0.4540411,808543.0,49.48425792,3.9807743,98614.0,188.0,Bajista fuerte
0.84197206,0.85339296,0.86546013,0.15011439,0.19492409,498287.0,0.04546207,0.20604314,837297.0,51.97290835,3.88857613,62449.0,168.0,Alcista fuerte
0.86528766,0.85883725,0.85190648,0.11097093,0.14979934,375059.0,0.05235377,0.22832868,849977.0,50.41825799,3.81153498,53884.0,53.0,Bajista fuerte
0.85173671,0.85164301,0.81961691,0.16442117,0.21220842,454265.0,0.08882202,0.3669328,1026712.0,46.82472426,3.75071105,66974.0,173.0,Bajista fuerte
0.81965286,0.79953335,0.74128481,0.5308944,0.57505726,1104386.0,0.18984566,0.67938044,1606754.0,39.47432656,3.95994598,167608.0,294.0,Bajista fuerte
0.74113708,0.76064554,0.77935461,0.29725671,0.32259223,789733.0,0.11613006,0.41731016,931271.0,44.06957727,3.96423555,92010.0,195.0,Alcista fuerte
0.7791993,0.77017305,0.70520819,0.38992431,0.41260913,856633.0,0.14530548,0.50750696,1064211.0,38.01578157,4.09107587,109018.0,232.0,Bajista fuerte
0.70506766,0.75092359,0.74925754,0.23022036,0.25125948,624573.0,0.10132917,0.36431222,899077.0,43.02327487,4.07885616,84426.0,142.0,Alcista fuerte
0.74890895,0.74742368,0.76639892,0.14320578,0.16667307,392290.0,0.08606486,0.32805737,879969.0,44.88908618,3.94965215,52159.0,144.0,Alcista fuerte
