Open_time,Volume,Quote asset volume,Number of trades,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,RSI,SlowK,SlowD,total_trades_coinbase,Compound total coin,Buy_1000x_high,sell_1000x_high,Tendencia
2021-10-24,7260724.06,310356005.1992,487576.0,1421627004.334803,917969.0,590939.031,281745798.0897,483168.0,60.3626816,78.11918063,81.28070769,64449.0,34.3004,261.0,182.0,Bajista
2021-10-25,7291785.53,318759784.0263,507703.0,1445430078.54488,939963.0,632116.761,305600064.9152,548234.0,64.44833657,80.54003724,79.87129716,62321.0,49.7125,247.0,248.0,Alcista
2021-10-26,9161833.46,406675314.5852,778131.0,1739912498.469915,1285913.0,702610.184,340191955.2634,589181.0,65.10544249,82.42358745,80.36093511,88554.0,52.6212,249.0,286.0,Lateral
2021-10-27,17560562.15,738526790.5613,1215968.0,2874313313.398057,1872190.0,1370950.214,630367975.4475,973507.0,52.7087553,66.1297235,76.3644494,112155.0,21.2946,397.0,308.0,Bajista
2021-10-28,11629300.38,486938116.6984,726484.0,2587268364.26144,1711575.0,1523900.006,724786890.2403,1074597.0,55.51253226,50.60350138,66.38560411,100342.0,42.2131,328.0,251.0,Alcista
2021-10-29,8788034.21,379251608.6998,560104.0,2440933126.0486555,1799386.0,1411851.4394,720241822.825672,1222937.0,59.92534103,44.90680537,53.88001008,85357.0,49.7076,251.0,261.0,Alcista
2021-10-30,5254551.32,226326757.5573,339208.0,1469664811.936835,1035476.0,1095033.1264,575511112.876323,1048477.0,56.21627514,54.8331166,50.11447445,55452.0,29.5941,160.0,123.0,Bajista
2021-10-31,6375433.77,268094221.5699,390771.0,1764886607.687624,1303438.0,1018991.819,532431987.4044,914156.0,56.29554481,58.95101864,52.89698021,78176.0,29.6311,162.0,139.0,Lateral
2021-11-01,23714028.213,1121822068.8010707,2616111.0,1794319887.30236,1134036.0,1274272.0851,679389556.7700912,1045678.0,67.66088552,64.32576238,59.36996587,176558.0,55.9207,491.0,861.0,Alcista
2021-11-02,19822814.528,1008388946.7180248,1679065.0,2083371519.8068275,1657233.0,1153919.1399,635985237.9255952,1103251.0,69.64191021,76.34524308,66.5406747,179800.0,57.1384,513.0,414.0,Alcista
2021-11-03,17237167.47,892383869.2826918,1681025.0,2051737308.0126247,1580640.0,1262766.5996,699196827.647012,1110367.0,71.52069013,89.51136463,76.72745669,150540.0,58.5797,401.0,443.0,Alcista
2021-11-04,14091354.818,752535110.9248979,1168396.0,1663942873.793036,1019675.0,1052950.033,584534661.6208,949944.0,72.05286625,91.04659301,85.63440024,119018.0,63.5327,352.0,387.0,Lateral
2021-11-05,8742278.8,454487603.3495,712132.0,1375503505.227947,893068.0,1989945.5433,1187156588.997054,1493105.0,66.32474532,88.11944953,89.55913572,90525.0,56.6919,272.0,172.0,Bajista
2021-11-06,8114011.78,411523728.3818,650701.0,1429791261.319524,868676.0,1366385.957,838291690.0841609,1130633.0,66.68473906,84.40105756,87.85570003,83250.0,35.2303,274.0,199.0,Lateral
2021-11-07,7102199.25,372971989.0864,581999.0,1115635571.36518,834745.0,1476373.2487,968328578.1423631,1237108.0,66.97718092,81.14704088,84.55584932,71764.0,10.4637,205.0,218.0,Lateral
