Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2022-02-14,19.67300000,20.34850490,22.49500709,19.67300000,16.85099291,38.81665908,-1.14160063,-1.39540884,34.20875367,22.83838403,29.79840698,-89.03711871,1.67120397,38.77449858
2022-02-15,19.77700000,20.33055206,22.50836669,19.77700000,17.04563331,47.24686364,-1.02796560,-1.32192019,32.53201790,27.48752843,26.23896881,-27.27878317,1.67326083,37.33515041
2022-02-16,19.85900000,20.27621377,22.48281326,19.85900000,17.23518674,45.40115296,-0.95912943,-1.24936204,30.97504898,30.07662835,26.80084694,-31.88118812,1.63517077,38.37716809
2022-02-17,19.85000000,20.07466960,22.49573619,19.85000000,17.20426381,38.86149776,-1.02190303,-1.20387024,30.30884629,27.64141533,28.40185737,-88.21928681,1.67623000,37.94743959
2022-02-18,19.80400000,19.85993916,22.55522082,19.80400000,17.05277918,37.62137065,-1.08656152,-1.18040849,29.81134604,15.02578862,24.24794410,-106.61085848,1.62864215,30.36450272
2022-02-19,19.78850000,19.66756400,22.58001769,19.78850000,16.99698231,37.74721717,-1.12324197,-1.16897519,29.49719755,6.44439555,16.37053316,-103.61313744,1.57516771,22.48882456
2022-02-20,19.66550000,19.40493886,22.72396023,19.66550000,16.60703977,34.28360331,-1.21336777,-1.17785371,29.59058594,5.44504433,8.97174283,-122.35431114,1.54837001,17.02247199
2022-02-21,19.49600000,19.09780182,22.91172481,19.49600000,16.08027519,31.81579247,-1.32838522,-1.20796001,30.01938338,4.77432074,5.55458687,-133.10171362,1.55991501,5.67091950
2022-02-22,19.38800000,18.85991594,23.01974118,19.38800000,15.75625882,34.72698029,-1.36985604,-1.24033921,30.53756611,5.91733386,5.37889964,-137.32452519,1.51492108,5.97781965
2022-02-23,19.24050000,18.58468585,23.16417927,19.24050000,15.31682073,32.48638336,-1.43699294,-1.27966996,30.16579508,5.53864338,5.41009933,-114.26887032,1.52099815,14.80545193
2022-02-24,19.02450000,18.35376339,23.12318991,19.02450000,14.92581009,33.87211484,-1.45806039,-1.31534804,30.79444516,15.36926148,8.94174624,-139.35026869,1.60521257,13.76318364
2022-02-25,18.82050000,18.24864306,22.84536012,18.82050000,14.79563988,41.31395189,-1.37099858,-1.32647815,30.63096219,28.33538011,16.41442832,-57.86445677,1.61484024,21.28832605
2022-02-26,18.62650000,18.22781991,22.40339436,18.62650000,14.84960564,45.99737288,-1.22494163,-1.30617085,29.40410209,48.57875664,30.76113274,16.17297674,1.61520879,30.33092450
2022-02-27,18.38400000,18.15850373,21.77672987,18.38400000,14.99127013,43.45944952,-1.13882930,-1.27270254,28.32007142,56.33280339,44.41564671,6.79059621,1.61769388,29.06296363
2022-02-28,18.24800000,18.23293195,21.30610791,18.24800000,15.18989209,51.31866602,-0.94351247,-1.20686452,27.59451763,65.28881823,56.73345942,40.65040650,1.68000146,38.75338763
2022-03-01,18.09550000,18.29550986,20.66751458,18.09550000,15.52348542,51.05330612,-0.78372278,-1.12223618,26.52345828,70.47292550,64.03151571,98.33483124,1.64857278,41.67675286
2022-03-02,18.00050000,18.32546130,20.33847754,18.00050000,15.66252246,49.50940203,-0.67193630,-1.03217620,25.52890316,77.69329234,71.15167869,95.71550301,1.59581759,40.87465928
2022-03-03,17.95250000,18.29636975,20.24708384,17.95250000,15.65791616,46.33005504,-0.62376244,-0.95049345,25.01581597,75.79608179,74.65409988,54.57659898,1.54611633,41.01421688
2022-03-04,17.85100000,18.15290596,20.16263925,17.85100000,15.53936075,40.49212837,-0.67703064,-0.89580089,25.32221422,66.09621717,73.19519710,-24.82352941,1.54710802,40.43410596
2022-03-05,17.78100000,18.07453397,20.06657126,17.78100000,15.49542874,43.83801776,-0.66797261,-0.85023523,25.78417562,60.43557169,67.44262355,-22.14925373,1.55231459,40.03027334
2022-03-06,17.69550000,17.97124502,19.96504158,17.69550000,15.42595842,42.22808267,-0.68038614,-0.81626541,26.21313977,54.20447671,60.24542186,-27.31062847,1.51857783,40.32669404
2022-03-07,17.50800000,17.82255501,19.53924198,17.50800000,15.47675802,39.55914683,-0.72862597,-0.79873752,26.90862719,51.90562613,55.51522484,-68.34267548,1.49153656,41.42191003
2022-03-08,17.36850000,17.74135930,19.12682051,17.36850000,15.61017949,43.28623742,-0.71344491,-0.78167900,27.38244578,49.72776770,51.94595685,-45.15214625,1.45428395,46.44872548
2022-03-09,17.35350000,17.75265841,19.08953312,17.35350000,15.61746688,48.70049822,-0.62242334,-0.74982787,26.87438481,54.99092559,52.20810647,13.05663640,1.43683510,44.95234111
2022-03-10,17.31050000,17.67716714,19.04077715,17.31050000,15.58022285,44.11416160,-0.61581187,-0.72302467,26.54924685,51.11949734,51.94606354,-41.19964417,1.42348973,50.72413254
2022-03-11,17.30300000,17.67838931,19.02531356,17.30300000,15.58068644,48.36199082,-0.54538052,-0.68749584,25.61785109,49.27861559,51.79634617,-0.91525021,1.45038332,51.40102114
2022-03-12,17.36450000,17.72235224,19.11391676,17.36450000,15.61508324,50.84243781,-0.44808667,-0.63961401,24.47107336,46.26706696,48.88839330,61.67032628,1.42321308,49.46587207
2022-03-13,17.41650000,17.67450917,19.08179607,17.41650000,15.75120393,45.97964191,-0.44014321,-0.59971985,23.88033267,47.28464419,47.61010892,-5.65540659,1.41226929,51.82718910
2022-03-14,17.47150000,17.67693686,19.09749231,17.47150000,15.84550769,48.73464288,-0.39061323,-0.55789852,23.44156509,47.37827715,46.97666277,-7.76986951,1.37282149,41.68174276
2022-03-15,17.56350000,17.68960954,19.04066316,17.56350000,16.08633684,49.37186720,-0.33858132,-0.51403508,22.78613392,45.84798143,46.83696759,22.22728654,1.34690567,36.11895448
2022-03-16,17.70800000,17.81917054,19.17308157,17.70800000,16.24291843,56.00986801,-0.19503973,-0.45023601,21.38129171,66.29518888,53.17381582,174.95509366,1.35784098,46.55144189
2022-03-17,17.78300000,17.90782096,19.29929944,17.78300000,16.26670056,54.15972173,-0.10428731,-0.38104627,20.23369112,77.74076997,63.29464676,186.41436196,1.31228091,53.92084035
2022-03-18,17.82900000,18.00707611,19.42614620,17.82900000,16.23185380,55.22166874,-0.01604212,-0.30804544,18.94207894,88.58684633,77.54093506,132.79365469,1.29497513,56.14994936
2022-03-19,17.92400000,18.13973553,19.65221758,17.92400000,16.19578242,57.60164077,0.08917611,-0.22860113,18.03842396,86.61967209,84.31576280,149.95512117,1.26890547,62.33788904
