Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance,Tendencia
2021-09-27,28.84000000,30.26000000,27.50000000,27.71000000,11094418.10000000,320340017.82099998,449178.00000000,43160.90000000,44350.00000000,42098.00000000,42147.35000000,39776.84383000,1728912299.80342436,1001487.00000000,3059.36000000,3164.94000000,2922.71000000,2925.59000000,510130.73190000,1564096695.37296700,1043885.00000000,344.00000000,357.60000000,335.00000000,335.50000000,956544.06900000,332372476.51150000,457187.00000000,31.84600000,30.83296621,38.30029593,31.84600000,25.39170407,44.10506774,0.01533379,0.96198295,21.20275763,24.79276564,33.77710793,-86.29920354,4.00134556,29.23077276,0.00000000,0.00000000,0.00000000,pos,139,61.00000000,28.00000000,50.00000000,17.83400000,pos,135,71.00000000,26.00000000,38.00000000,30.62210000,neu,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,81.00000000,525.00000000,364.00000000,270000.00000000,Lateral
2021-09-28,27.72000000,28.38000000,26.14000000,26.31000000,9784154.53000000,267560973.68820000,362304.00000000,42147.35000000,42787.38000000,40888.00000000,41026.54000000,43372.26240000,1816305387.83885837,1045389.00000000,2924.76000000,2970.82000000,2789.00000000,2804.91000000,511325.46430000,1477983245.66970205,928494.00000000,335.50000000,344.60000000,330.00000000,333.00000000,922077.22700000,310828343.69739997,417006.00000000,31.77350000,30.40220753,38.43888003,31.77350000,25.10811997,41.82616106,-0.33105913,0.70337453,21.98379961,16.09949418,24.47392500,-109.45883344,3.87553516,19.19437830,4.00000000,2.00000000,5273.00000000,pos,93,40.00000000,21.00000000,32.00000000,10.18160000,pos,122,57.00000000,23.00000000,42.00000000,19.88530000,neu,2.00000000,1.00000000,1.00000000,0.00000000,0.01960000,87.00000000,472.00000000,331.00000000,204000.00000000,Bajista
2021-09-29,26.31000000,28.59000000,26.11000000,27.28000000,10207287.33000000,280535376.37540001,376232.00000000,41025.01000000,42590.00000000,40753.88000000,41524.28000000,33511.53487000,1399625476.05637646,884909.00000000,2805.15000000,2950.00000000,2782.00000000,2850.45000000,411305.08930000,1180681056.16231394,748804.00000000,332.90000000,375.40000000,331.20000000,367.70000000,1696420.04500000,612547661.88390005,653011.00000000,31.64650000,30.10485443,38.54851789,31.64650000,24.74448211,43.98572060,-0.52129792,0.45844004,22.60823115,12.88255723,17.92493902,-92.92616568,3.77585408,23.81972421,22.00000000,40.00000000,54144.00000000,pos,112,61.00000000,19.00000000,32.00000000,23.13170000,pos,145,71.00000000,20.00000000,54.00000000,30.29890000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,64.00000000,594.00000000,495.00000000,216000.00000000,Alcista
2021-09-30,27.28000000,28.99000000,27.13000000,28.62000000,8201551.44000000,230622998.43009999,339737.00000000,41524.29000000,44141.37000000,41410.17000000,43824.10000000,46381.22781000,2005486003.56467676,1197815.00000000,2850.45000000,3048.42000000,2837.19000000,3000.61000000,506896.76120000,1514341937.30711603,992243.00000000,367.70000000,388.80000000,366.40000000,387.50000000,1163674.20600000,439628574.41839999,551245.00000000,31.61800000,29.96343972,38.56491759,31.61800000,24.67108241,46.91734190,-0.55751010,0.25525001,22.98784301,16.42209732,15.13471625,-60.02959674,3.63900736,28.33650987,15.00000000,23.00000000,39220.00000000,pos,116,46.00000000,28.00000000,42.00000000,7.67840000,pos,147,73.00000000,26.00000000,48.00000000,30.89790000,pos,2.00000000,1.00000000,0.00000000,1.00000000,0.75060000,77.00000000,419.00000000,464.00000000,202000.00000000,Alcista
2021-10-01,28.61000000,32.33000000,28.50000000,31.94000000,13176348.21000000,402700970.64510000,735059.00000000,43820.01000000,48495.00000000,43283.03000000,48141.61000000,66244.87492000,3076094886.59247446,1771237.00000000,3000.62000000,3330.00000000,2969.07000000,3309.91000000,648714.61510000,2063112280.66779113,1446386.00000000,387.50000000,423.40000000,381.50000000,421.50000000,1440336.04100000,584311192.71599996,727854.00000000,31.63650000,30.15168356,38.58477828,31.63650000,24.68822172,53.42178245,-0.31468477,0.14126306,21.86331886,34.90484958,21.40316805,34.16969653,3.65264969,35.01624902,24.00000000,35.00000000,63183.00000000,pos,171,72.00000000,21.00000000,78.00000000,30.72020000,pos,141,70.00000000,18.00000000,53.00000000,30.42850000,pos,1.00000000,1.00000000,0.00000000,0.00000000,0.82010000,71.00000000,477.00000000,664.00000000,492000.00000000,Alcista
2021-10-02,31.94000000,33.39000000,31.52000000,32.01000000,8748363.88000000,283814409.55190003,522276.00000000,48141.60000000,48336.59000000,47430.18000000,47634.90000000,30508.98131000,1459064880.53244472,996116.00000000,3309.91000000,3469.00000000,3257.00000000,3387.76000000,422551.18110000,1417055615.81663704,1046194.00000000,421.40000000,438.20000000,410.60000000,427.10000000,1039006.51800000,441907791.72759998,604611.00000000,31.44750000,30.32866607,38.13429856,31.44750000,24.76070144,53.55101685,-0.11526681,0.08995709,20.41806319,52.81704111,34.71466267,96.94790226,3.52531757,34.38818088,9.00000000,24.00000000,48971.00000000,pos,97,37.00000000,26.00000000,34.00000000,8.96820000,pos,111,57.00000000,21.00000000,33.00000000,23.83290000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,26.00000000,317.00000000,304.00000000,347000.00000000,Lateral
2021-10-03,32.01000000,32.69000000,31.17000000,32.11000000,7871434.22000000,252056591.14850000,350329.00000000,47634.89000000,49228.08000000,47088.00000000,48200.01000000,30825.05601000,1482764462.19057751,1114294.00000000,3387.77000000,3488.00000000,3342.51000000,3417.73000000,360586.89050000,1231536168.31536269,816339.00000000,427.00000000,437.20000000,421.50000000,430.50000000,820910.79200000,352575425.70359999,519696.00000000,31.31100000,30.49831692,37.82442583,31.31100000,24.79757417,53.74844463,0.05026313,0.08201829,19.20445881,69.92510150,52.54899740,97.85997093,3.38208060,34.47312094,14.00000000,19.00000000,40780.00000000,pos,119,52.00000000,26.00000000,41.00000000,12.80510000,pos,125,53.00000000,33.00000000,39.00000000,13.17340000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,45.00000000,286.00000000,229.00000000,209000.00000000,Lateral
2021-10-04,32.10000000,32.11000000,30.04000000,31.15000000,9287969.05000000,288547980.66280001,414743.00000000,48200.01000000,49536.12000000,46891.00000000,49224.94000000,46796.49372000,2258464361.12635660,1437692.00000000,3417.73000000,3437.19000000,3270.00000000,3386.31000000,485204.64200000,1631562261.55497599,1090407.00000000,430.50000000,430.90000000,410.90000000,426.30000000,974423.35900000,410376184.39929998,557908.00000000,31.00050000,30.56038198,36.89339224,31.00050000,25.10760776,51.48600421,0.10279783,0.08617420,18.48969154,72.53510467,65.09241576,53.11219140,3.28836056,37.76142589,10.00000000,13.00000000,40810.00000000,pos,126,58.00000000,15.00000000,53.00000000,23.15940000,pos,149,67.00000000,36.00000000,46.00000000,17.90970000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,62.00000000,412.00000000,302.00000000,251000.00000000,Bajista
2021-10-05,31.15000000,32.16000000,30.52000000,31.39000000,8537858.77000000,268161491.12909999,374395.00000000,49224.93000000,51886.30000000,49022.40000000,51471.99000000,52125.66793000,2618101829.01772261,1641651.00000000,3386.31000000,3545.00000000,3363.78000000,3515.27000000,393900.88180000,1355905889.61094689,1025512.00000000,426.40000000,444.00000000,424.00000000,442.10000000,883699.82800000,385403145.05970001,623411.00000000,30.74650000,30.63939322,36.08647856,30.74650000,25.40652144,52.02964109,0.16193130,0.10132562,17.80383494,73.20379109,71.88799909,55.61122972,3.17062052,45.54264092,12.00000000,13.00000000,45695.00000000,pos,178,91.00000000,29.00000000,58.00000000,31.06330000,pos,141,67.00000000,23.00000000,51.00000000,24.66480000,neu,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,109.00000000,378.00000000,347.00000000,222000.00000000,Lateral
2021-10-06,31.39000000,33.09000000,29.11000000,32.19000000,14373589.09000000,448633539.30000001,704071.00000000,51471.99000000,55750.00000000,50382.41000000,55315.00000000,79877.54518100,4236927265.38152170,2443126.00000000,3515.48000000,3632.11000000,3342.00000000,3574.89000000,618265.54020000,2172519696.56298494,1444856.00000000,442.00000000,442.80000000,414.70000000,434.90000000,1245088.68300000,537791098.80149996,758834.00000000,30.58100000,30.78707006,35.51084746,30.58100000,25.65115254,53.88466972,0.27023324,0.13510715,17.68354865,74.06312157,73.26733911,53.42835456,3.22843334,44.61951469,49.00000000,27.00000000,71162.00000000,pos,250,113.00000000,41.00000000,96.00000000,40.86870000,pos,131,72.00000000,22.00000000,37.00000000,28.76580000,pos,3.00000000,1.00000000,0.00000000,2.00000000,0.31640000,80.00000000,523.00000000,493.00000000,467000.00000000,Alcista
