Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2024-02-22,51849.38000000,52065.78000000,50940.78000000,51288.42000000,35309.44574000,1820949707.15853400,1688184,2967.91000000,3036.02000000,2906.51000000,2971.40000000,563525.99360000,1676206889.45140500,1205856,379.20000000,387.30000000,373.70000000,382.60000000,1409647.48100000,536344338.40800000,444044
2024-02-23,51288.42000000,51548.54000000,50521.00000000,50744.15000000,30545.79544000,1559143576.82961640,1487039,2971.40000000,2993.80000000,2906.05000000,2922.24000000,428826.57870000,1261137725.51195200,1003464,382.70000000,385.80000000,369.00000000,375.50000000,1027891.29500000,386866756.78370000,369744
2024-02-24,50744.15000000,51698.00000000,50585.00000000,51568.22000000,16560.42110000,847793393.57186800,855015,2922.25000000,3007.48000000,2906.40000000,2992.62000000,243854.07830000,721993808.56619300,718718,375.50000000,383.30000000,371.70000000,381.70000000,444587.48100000,168773631.02030000,205659
2024-02-25,51568.21000000,51958.55000000,51279.80000000,51728.85000000,18721.63159000,966951114.45046290,923992,2992.62000000,3122.00000000,2983.61000000,3112.59000000,412306.22370000,1257766106.54629900,1085332,381.60000000,391.00000000,377.60000000,388.50000000,643002.67100000,247170192.04340000,254167
2024-02-26,51728.85000000,54910.00000000,50901.44000000,54476.47000000,51256.72199000,2710403072.98059510,1808909,3112.60000000,3196.00000000,3036.59000000,3175.94000000,546722.77470000,1703165045.24149200,1391934,388.50000000,404.90000000,382.00000000,401.60000000,1196262.20400000,470452539.82880000,439494
2024-02-27,54476.48000000,57588.15000000,54450.13000000,57037.34000000,67194.98562000,3795949115.22493150,2414285,3175.95000000,3288.14000000,3160.02000000,3242.36000000,625939.12210000,2025805516.97493300,1676466,401.50000000,403.70000000,389.60000000,394.60000000,915873.07300000,364167988.71860000,359085
2024-02-28,57037.35000000,64000.00000000,56691.85000000,62432.10000000,118763.46984000,7162581994.48573950,3895062,3242.35000000,3488.00000000,3176.16000000,3383.10000000,947538.76600000,3153201034.91476300,2442603,394.60000000,427.30000000,394.10000000,414.60000000,1348008.99500000,552001541.86410000,632216
2024-02-29,62432.11000000,63676.35000000,60364.70000000,61130.98000000,78425.07603000,4872212871.27608040,3169405,3383.11000000,3522.81000000,3300.00000000,3340.09000000,759698.11230000,2608623102.49017000,2112875,414.70000000,419.70000000,391.10000000,399.40000000,1146024.36200000,469627729.07480000,580983
2024-03-01,61130.99000000,63114.23000000,60777.00000000,62387.90000000,47737.93473000,2956537377.96602980,1947444,3340.10000000,3450.00000000,3338.54000000,3433.43000000,412788.57730000,1405295834.57269400,1263130,399.30000000,408.60000000,398.80000000,407.40000000,586580.61100000,237860266.13380000,311204
2024-03-02,62387.90000000,62433.19000000,61561.12000000,61987.28000000,25534.73659000,1582566973.83409310,1641808,3433.42000000,3460.04000000,3390.01000000,3421.40000000,283984.94480000,971756920.45120900,926113,407.40000000,414.80000000,405.80000000,410.90000000,590018.54300000,241430398.07420000,317270
2024-03-03,61987.28000000,63231.88000000,61320.00000000,63113.97000000,28994.90903000,1804536272.94434580,1992011,3421.39000000,3491.80000000,3360.00000000,3487.81000000,341631.53100000,1172272660.98449000,1116823,410.90000000,416.80000000,402.20000000,414.50000000,838274.34600000,344938583.21170000,383839
2024-03-04,63113.97000000,68499.00000000,62300.00000000,68245.71000000,84835.16005000,5568877537.08125230,3887853,3487.80000000,3640.94000000,3423.78000000,3627.76000000,715360.63610000,2526905041.93919000,1953764,414.50000000,423.80000000,410.60000000,418.40000000,1045414.00100000,436000270.40030000,477914
2024-03-05,68245.71000000,69000.00000000,59005.00000000,63724.01000000,132696.78130000,8674526591.28714170,5310706,3627.75000000,3822.04000000,3200.00000000,3553.65000000,1392904.86400000,5043847679.68348000,3265582,418.50000000,427.20000000,356.10000000,394.10000000,2073303.79000000,842880032.16110000,919160
2024-03-06,63724.01000000,67641.10000000,62779.14000000,66074.04000000,78738.85491000,5197743036.59727550,3302981,3553.66000000,3900.00000000,3499.40000000,3818.59000000,969494.71000000,3652250924.27773700,2555462,394.10000000,434.70000000,385.60000000,429.40000000,1804741.11200000,751515764.42240000,770778
2024-03-07,66074.04000000,67980.00000000,65551.00000000,66823.17000000,53059.88690000,3548088039.27360850,2428227,3818.58000000,3933.81000000,3735.00000000,3868.76000000,540780.67500000,2067607917.44370900,1636716,429.40000000,476.80000000,423.20000000,474.60000000,1672134.41000000,749769224.13660000,665523
2024-03-08,66823.18000000,69990.00000000,66082.66000000,68124.19000000,74261.93284200,5044395324.39905431,2943927,3868.76000000,3993.75000000,3820.00000000,3883.36000000,646399.25890000,2534209920.00556500,1657141,474.60000000,489.60000000,462.50000000,485.80000000,1660311.36100000,791088261.86261200,706558
2024-03-09,68124.20000000,68541.10000000,67861.10000000,68313.27000000,19872.89743000,1355964036.90929860,1345341,3883.37000000,3942.00000000,3870.01000000,3905.21000000,254839.13860000,995823688.31355300,819335,485.80000000,493.80000000,480.70000000,488.30000000,852029.24100000,414533147.66760000,433520
2024-03-10,68313.28000000,69887.61000000,68094.75000000,68955.88000000,38404.66835000,2659307501.09457810,2139518,3905.20000000,3964.67000000,3791.26000000,3878.47000000,356664.68000000,1393415653.98342000,1195480,488.30000000,537.50000000,484.80000000,528.90000000,1944137.08400000,1008148996.34200000,909899
2024-03-11,68955.88000000,72800.00000000,67024.96000000,72078.10000000,75292.82572600,5352704377.61880469,3043414,3878.47000000,4086.23000000,3722.95000000,4064.80000000,721554.51390000,2874119154.30335900,1894504,528.90000000,533.80000000,505.50000000,523.00000000,1608146.39700000,837717178.08170000,729133
2024-03-12,72078.10000000,73000.00000000,68620.82000000,71452.01000000,68783.54669100,4909667978.55933818,3047890,4064.80000000,4093.92000000,3828.98000000,3979.96000000,632787.39410000,2522475873.08181000,1878541,523.00000000,548.50000000,519.00000000,537.50000000,1924767.68700000,1029803000.13680000,974595
2024-03-13,71452.00000000,73650.25000000,71333.31000000,73072.41000000,52659.71164700,3829764501.25379279,2501197,3979.97000000,4083.00000000,3932.23000000,4004.79000000,482305.77660000,1933909390.30212400,1536498,537.40000000,633.50000000,531.70000000,630.50000000,2526002.56400000,1472173679.01330000,1265237
2024-03-14,73072.40000000,73777.00000000,68555.00000000,71388.94000000,71757.62874600,5132189849.09663160,2994869,4004.79000000,4010.98000000,3723.00000000,3881.70000000,648237.52450000,2520007951.69120000,1919963,630.50000000,631.50000000,565.50000000,603.20000000,2119540.30000000,1276710945.00940000,1038297
2024-03-15,71388.94000000,72419.71000000,65600.00000000,69499.85000000,103334.03546000,7065279917.87211180,3904445,3881.69000000,3934.02000000,3570.00000000,3742.19000000,947537.40710000,3513477459.32044900,2487337,603.20000000,635.20000000,540.90000000,632.70000000,3066312.78800000,1801522551.25840000,1365283
