Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance
2024-03-20,8.76600000,9.56700000,8.48800000,9.48300000,12729562.23000000,115192954.03982000,267797,61937.41000000,68100.00000000,60775.00000000,67840.51000000,90420.58592000,5769770052.06258297,3549793,3158.65000000,3535.24000000,3056.56000000,3516.53000000,1207322.82010000,3957251428.89904070,2987953,507.70000000,559.00000000,500.00000000,556.80000000,1425296.57900000,749188287.29999983,809335,10.14305000,9.79926466,11.68476690,10.14305000,8.60133310,49.41870588,0.40590551,0.67511446,23.44424538,26.95829566,35.84428219,-150.24136651,0.99404872,50.85878293,,,,pos,136,58.00000000,30.00000000,48.00000000,10.75430000,pos,160,80.00000000,30.00000000,50.00000000,28.20310000,pos,1,1.00000000,0.00000000,0.00000000,0.44040000,40,473.00000000,386.00000000,171000.00000000
2024-03-21,9.48300000,9.58300000,9.06700000,9.17900000,7536093.12000000,70326185.56471001,156774,67840.51000000,68240.47000000,64529.01000000,65501.27000000,53357.48002000,3551223142.96441698,2388390,3516.53000000,3587.32000000,3412.00000000,3492.85000000,602755.20720000,2114084858.15653515,1791989,556.70000000,571.00000000,540.60000000,553.80000000,953921.37200000,530484956.59649998,563996,10.16895000,9.74019184,11.62524385,10.16895000,8.71265615,47.05195703,0.31546569,0.60318471,23.12673082,18.20692720,26.50589035,-111.92387328,0.95990239,49.35013673,64.00000000,78.00000000,66543.00000000,pos,122,59.00000000,22.00000000,41.00000000,22.28360000,pos,167,89.00000000,31.00000000,47.00000000,43.21740000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,24,350.00000000,290.00000000,101000.00000000
2024-03-22,9.17900000,9.36700000,8.69400000,8.93600000,6104700.92000000,55019173.18080000,147578,65501.28000000,66649.62000000,62260.00000000,63796.64000000,51482.37821000,3310481978.10764503,2492881,3492.84000000,3542.52000000,3250.00000000,3336.35000000,558848.88800000,1891771641.01900721,1747756,553.80000000,588.10000000,535.50000000,553.80000000,1181298.51000000,665146195.22309995,712381,10.14260000,9.66360214,11.66653391,10.14260000,8.61866609,45.18896674,0.22162861,0.52687349,23.28229119,20.91541703,22.02687996,-116.79303976,0.93940936,51.60694334,56.00000000,66.00000000,68616.00000000,pos,110,50.00000000,21.00000000,39.00000000,15.73650000,pos,177,96.00000000,31.00000000,50.00000000,38.81300000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,41,252.00000000,206.00000000,92000.00000000
2024-03-23,8.93900000,9.22400000,8.85200000,8.96800000,3464506.12000000,31440053.88562000,82610,63796.64000000,65999.00000000,63000.00000000,63990.01000000,26410.11409000,1706152172.63161349,1753566,3336.35000000,3435.48000000,3270.08000000,3329.53000000,323675.94480000,1089778379.60122871,1129683,553.80000000,567.70000000,543.40000000,551.90000000,608753.32900000,338703185.90310001,381050,10.10195000,9.59735431,11.70368375,10.10195000,8.50021625,45.49502033,0.14813655,0.45112610,23.42674010,15.86788200,18.33007541,-98.90658174,0.89888012,49.64892061,32.00000000,37.00000000,37381.00000000,pos,96,42.00000000,24.00000000,30.00000000,10.04540000,pos,147,77.00000000,24.00000000,46.00000000,35.54530000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,8,146.00000000,153.00000000,53000.00000000
2024-03-24,8.96700000,9.43000000,8.95200000,9.37000000,3551552.34000000,32635454.36433000,85961,63990.02000000,67628.69000000,63772.29000000,67209.99000000,31395.78015000,2059312948.64868808,1880774,3329.53000000,3471.22000000,3298.76000000,3454.98000000,260824.14080000,879033073.03145421,1090982,551.90000000,573.00000000,548.70000000,567.70000000,442930.35000000,247685878.07800001,316278,10.07735000,9.57570152,11.70792208,10.07735000,8.44677792,49.32325826,0.12093752,0.38508839,23.13579516,17.73988043,18.17439315,-65.69566374,0.86881725,53.00425045,31.00000000,16.00000000,40927.00000000,pos,82,41.00000000,20.00000000,21.00000000,13.16390000,pos,129,74.00000000,23.00000000,32.00000000,27.97330000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,12,167.00000000,161.00000000,55000.00000000
2024-03-25,9.37200000,9.83200000,9.28700000,9.73500000,6350466.97000000,60894231.33409000,134426,67210.00000000,71150.00000000,66385.06000000,69880.01000000,53431.14486000,3679964073.81121302,2632220,3454.99000000,3666.00000000,3420.12000000,3590.42000000,548577.69420000,1945377748.66026878,1610130,567.80000000,598.00000000,564.40000000,587.00000000,802695.51200000,469579231.51330000,583070,10.09810000,9.59087281,11.69990147,10.09810000,8.49629853,52.57994713,0.12736634,0.33354398,22.09195259,25.57091052,19.72622431,-25.75749957,0.84568745,49.98639208,36.00000000,48.00000000,46920.00000000,pos,172,76.00000000,24.00000000,72.00000000,26.49050000,pos,148,64.00000000,27.00000000,57.00000000,29.05250000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,34,343.00000000,353.00000000,85000.00000000
2024-03-26,9.73700000,10.05700000,9.52500000,9.68900000,8244078.96000000,80673527.43835001,174875,69880.00000000,71561.10000000,69280.00000000,69988.00000000,38934.38417000,2738537345.33587980,2176807,3590.43000000,3678.86000000,3542.62000000,3587.33000000,499013.83840000,1800812035.84622407,1373691,587.10000000,597.00000000,571.90000000,580.40000000,569324.07900000,332801887.09259999,435915,10.05535000,9.60021825,11.65289966,10.05535000,8.45780034,52.12530897,0.12728218,0.29229162,20.72064302,32.63745957,25.31608350,-6.44338329,0.82328120,56.94129978,49.00000000,47.00000000,55875.00000000,pos,153,80.00000000,29.00000000,44.00000000,29.90260000,pos,144,78.00000000,23.00000000,43.00000000,36.75650000,pos,1,1.00000000,0.00000000,0.00000000,0.84580000,49,485.00000000,381.00000000,111000.00000000
2024-03-27,9.68900000,9.81400000,9.30400000,9.44500000,7078224.52000000,67565489.84129000,146861,69987.99000000,71769.54000000,68359.18000000,69469.99000000,49119.35685000,3426458581.94334412,2453366,3587.32000000,3665.84000000,3460.02000000,3501.19000000,443195.32970000,1576098628.30797601,1436593,580.40000000,585.60000000,560.30000000,574.30000000,531668.40200000,305741133.05199999,425362,10.00750000,9.58543556,11.61792808,10.00750000,8.39707192,49.67188259,0.10630135,0.25509356,19.80801624,33.37253749,30.52696919,-23.04871684,0.80090397,50.24856178,23.00000000,22.00000000,56147.00000000,pos,163,92.00000000,30.00000000,41.00000000,31.21630000,pos,218,143.00000000,36.00000000,39.00000000,70.91430000,pos,1,1.00000000,0.00000000,0.00000000,0.97090000,49,314.00000000,293.00000000,88000.00000000
2024-03-28,9.44800000,9.65900000,9.30000000,9.52200000,5433742.81000000,51686915.65022000,124191,69469.99000000,71552.06000000,68903.62000000,70780.60000000,35439.03239000,2500571208.00262785,1799897,3501.20000000,3611.78000000,3465.00000000,3560.49000000,404654.03110000,1436630524.62304306,1158353,574.20000000,591.70000000,574.10000000,583.40000000,503901.62400000,294749471.64279997,417770,9.95175000,9.57939408,11.54828824,9.95175000,8.35521176,50.46425379,0.09479441,0.22303373,18.96723598,31.86122825,32.62374177,-12.54847382,0.76933940,39.09454902,54.00000000,103.00000000,43771.00000000,neu,138,59.00000000,44.00000000,35.00000000,3.53200000,pos,131,64.00000000,29.00000000,38.00000000,22.62670000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,45,283.00000000,229.00000000,80000.00000000
2024-03-29,9.52400000,9.81000000,9.34400000,9.60100000,6430200.46000000,61359950.63986000,129741,70780.60000000,70916.16000000,69009.00000000,69850.54000000,25445.08353000,1779608477.32245350,1522607,3560.49000000,3584.37000000,3445.91000000,3509.74000000,323086.17900000,1138548291.15838671,951744,583.40000000,620.00000000,582.10000000,612.50000000,1042401.16900000,635441895.78020000,774967,9.90715000,9.58145179,11.49049851,9.90715000,8.32380149,51.31122355,0.09100072,0.19662713,17.88136920,35.47798641,33.57058405,25.08569991,0.74767230,50.31313412,65.00000000,65.00000000,44322.00000000,pos,114,59.00000000,21.00000000,34.00000000,16.60100000,pos,121,63.00000000,22.00000000,36.00000000,24.35510000,neg,1,0.00000000,1.00000000,0.00000000,-0.58590000,41,313.00000000,326.00000000,75000.00000000
