Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase,Sentimiento,Tweets_Utilizados,Cantidad_pos,Cantidad_neg,Cantidad_neu,Compound total,Sentimiento_coin,Tweets_Utilizados_coin,Cantidad_pos_coin,Cantidad_neg_coin,Cantidad_neu_coin,Compound total coin,Sentimiento_referentes,Tweets_Utilizados_referentes,Cantidad_pos_referentes,Cantidad_neg_referentes,Cantidad_neu_referentes,Compound total referentes,Tweets_Utilizados_whale_alert,Buy_1000x_high,sell_1000x_high,total_trades_binance
2024-02-21,7.73100000,7.73200000,7.22500000,7.46600000,6514766.28000000,48234966.35234000,127063,52258.82000000,52366.80000000,50625.00000000,51849.39000000,43079.40049000,2210278288.72509480,1824860,3014.81000000,3017.15000000,2868.00000000,2967.90000000,595955.00330000,1746960179.79394007,1256455,354.60000000,379.30000000,350.90000000,379.20000000,1701415.31300000,622522220.34959996,514587,7.29955000,7.41833099,8.11000974,7.29955000,6.48909026,52.66165718,0.18282973,0.12436717,23.24818639,70.17214867,81.68242730,0.75010716,0.39521257,65.15466527,23.00000000,30.00000000,36729.00000000,pos,148,67.00000000,40.00000000,41.00000000,13.00940000,pos,169,90.00000000,41.00000000,38.00000000,31.14670000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,30,359.00000000,285.00000000,80000.00000000
2024-02-22,7.46600000,7.68700000,7.27400000,7.48000000,5384307.43000000,40458873.89838000,100818,51849.38000000,52065.78000000,50940.78000000,51288.42000000,35309.44574000,1820949707.15853405,1688184,2967.91000000,3036.02000000,2906.51000000,2971.40000000,563525.99360000,1676206889.45140505,1205856,379.20000000,387.30000000,373.70000000,382.60000000,1409647.48100000,536344338.40799999,444044,7.32620000,7.42420423,8.12348178,7.32620000,6.52891822,52.96247171,0.16344361,0.13218245,22.44849833,54.05783567,69.99373756,-7.79710145,0.39648310,65.20018897,23.00000000,27.00000000,28936.00000000,pos,144,61.00000000,37.00000000,46.00000000,13.88210000,pos,166,79.00000000,35.00000000,52.00000000,31.09270000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,34,351.00000000,309.00000000,61000.00000000
2024-02-23,7.48100000,7.64600000,7.26900000,7.56300000,6638489.31000000,49322330.61584000,123876,51288.42000000,51548.54000000,50521.00000000,50744.15000000,30545.79544000,1559143576.82961631,1487039,2971.40000000,2993.80000000,2906.05000000,2922.24000000,428826.57870000,1261137725.51195192,1003464,382.70000000,385.80000000,369.00000000,375.50000000,1027891.29500000,386866756.78369999,369744,7.36310000,7.43742287,8.13198644,7.36310000,6.59421356,54.79644537,0.15301353,0.13634867,21.68510919,46.80213718,57.01070717,-12.59900085,0.39509145,65.29435200,39.00000000,25.00000000,28754.00000000,pos,146,69.00000000,26.00000000,51.00000000,25.89860000,pos,166,90.00000000,32.00000000,44.00000000,33.50550000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,31,389.00000000,297.00000000,72000.00000000
2024-02-24,7.56400000,7.89100000,7.43100000,7.81900000,6116096.37000000,47385015.29813000,119482,50744.15000000,51698.00000000,50585.00000000,51568.22000000,16560.42110000,847793393.57186782,855015,2922.25000000,3007.48000000,2906.40000000,2992.62000000,243854.07830000,721993808.56619298,718718,375.50000000,383.30000000,371.70000000,381.70000000,444587.48100000,168773631.02030000,205659,7.42075000,7.47376355,8.14343358,7.42075000,6.69806642,59.97941421,0.16351973,0.14178288,21.73704334,55.21712855,52.02570046,53.61806192,0.39972777,66.50143829,52.00000000,20.00000000,24022.00000000,pos,102,57.00000000,15.00000000,30.00000000,21.83580000,pos,147,80.00000000,25.00000000,42.00000000,37.87900000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,7,447.00000000,421.00000000,72000.00000000
2024-02-25,7.81900000,7.95000000,7.67700000,7.92300000,4176758.99000000,32553618.64877000,83926,51568.21000000,51958.55000000,51279.80000000,51728.85000000,18721.63159000,966951114.45046270,923992,2992.62000000,3122.00000000,2983.61000000,3112.59000000,412306.22370000,1257766106.54629874,1085332,381.60000000,391.00000000,377.60000000,388.50000000,643002.67100000,247170192.04339999,254167,7.48005000,7.51654798,8.16207184,7.48005000,6.79802816,61.89107472,0.17818390,0.14906309,21.95349070,67.54985755,56.52304109,91.10956683,0.39067579,71.12228001,41.00000000,24.00000000,21175.00000000,pos,112,53.00000000,19.00000000,40.00000000,20.36520000,pos,135,80.00000000,21.00000000,34.00000000,39.51670000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,6,234.00000000,266.00000000,50000.00000000
2024-02-26,7.92400000,8.11700000,7.58300000,8.10900000,7572230.28000000,59674731.86138000,144072,51728.85000000,54910.00000000,50901.44000000,54476.47000000,51256.72199000,2710403072.98059511,1808909,3112.60000000,3196.00000000,3036.59000000,3175.94000000,546722.77470000,1703165045.24149203,1391934,388.50000000,404.90000000,382.00000000,401.60000000,1196262.20400000,470452539.82880002,439494,7.54515000,7.57297198,8.20599651,7.54515000,6.88430349,65.10174243,0.20247995,0.15974646,22.60958598,82.96290802,68.57663137,112.85669623,0.40091323,71.63773466,51.00000000,68.00000000,35241.00000000,pos,236,105.00000000,41.00000000,90.00000000,35.16900000,pos,156,79.00000000,25.00000000,52.00000000,37.68940000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,29,430.00000000,427.00000000,82000.00000000
2024-02-27,8.10900000,8.44900000,7.98700000,8.37100000,10449184.54000000,85260782.62986000,183372,54476.48000000,57588.15000000,54450.13000000,57037.34000000,67194.98562000,3795949115.22493219,2414285,3175.95000000,3288.14000000,3160.02000000,3242.36000000,625939.12210000,2025805516.97493291,1676466,401.50000000,403.70000000,389.60000000,394.60000000,915873.07300000,364167988.71859998,359085,7.61665000,7.64897465,8.30923596,7.61665000,6.92406404,69.05642941,0.24010813,0.17581879,23.97377380,90.21194438,80.24156998,212.52961805,0.40527657,73.36797554,75.00000000,62.00000000,49387.00000000,pos,352,157.00000000,61.00000000,134.00000000,54.94770000,pos,152,89.00000000,23.00000000,40.00000000,43.14620000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,57,598.00000000,699.00000000,106000.00000000
2024-02-28,8.37100000,8.71500000,7.71300000,8.34200000,15023729.48000000,125068060.40644000,342565,57037.35000000,64000.00000000,56691.85000000,62432.10000000,118763.46984000,7162581994.48573971,3895062,3242.35000000,3488.00000000,3176.16000000,3383.10000000,947538.76600000,3153201034.91476297,2442603,394.60000000,427.30000000,394.10000000,414.60000000,1348008.99500000,552001541.86409998,632216,7.68310000,7.71497706,8.38620793,7.68310000,6.97999207,68.13605038,0.26453924,0.19356288,24.02544918,88.27768178,87.15084473,161.82056320,0.44789968,60.10807123,136.00000000,94.00000000,79915.00000000,pos,538,212.00000000,94.00000000,232.00000000,75.79290000,pos,159,96.00000000,24.00000000,39.00000000,48.85330000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,53,821.00000000,723.00000000,201000.00000000
2024-02-29,8.34200000,8.89900000,8.02900000,8.26100000,11567082.87000000,99243232.96434000,263151,62432.11000000,63676.35000000,60364.70000000,61130.98000000,78425.07603000,4872212871.27608013,3169405,3383.11000000,3522.81000000,3300.00000000,3340.09000000,759698.11230000,2608623102.49017000,2112875,414.70000000,419.70000000,391.10000000,399.40000000,1146024.36200000,469627729.07480001,580983,7.73635000,7.76697925,8.44512282,7.73635000,7.02757718,65.50977415,0.27420419,0.20969114,24.50308303,76.82719603,85.10560740,158.74355368,0.47804970,61.77277795,130.00000000,47.00000000,74759.00000000,pos,289,124.00000000,67.00000000,98.00000000,36.32900000,pos,161,86.00000000,31.00000000,44.00000000,34.45060000,pos,1,1.00000000,0.00000000,0.00000000,0.77770000,51,507.00000000,512.00000000,153000.00000000
2024-03-01,8.26300000,8.67300000,8.26300000,8.66100000,7440771.13000000,62653156.22702000,158857,61130.99000000,63114.23000000,60777.00000000,62387.90000000,47737.93473000,2956537377.96602964,1947444,3340.10000000,3450.00000000,3338.54000000,3433.43000000,412788.57730000,1405295834.57269406,1263130,399.30000000,408.60000000,398.80000000,407.40000000,586580.61100000,237860266.13380000,311204,7.80940000,7.85212408,8.58042202,7.80940000,7.03837798,71.37706108,0.31056044,0.22986500,24.94660017,74.21223128,79.77236970,150.95064968,0.47333186,67.48510507,63.00000000,51.00000000,66971.00000000,pos,261,133.00000000,51.00000000,77.00000000,53.32580000,pos,175,101.00000000,21.00000000,53.00000000,51.73950000,pos,1,1.00000000,0.00000000,0.00000000,0.72690000,50,350.00000000,321.00000000,96000.00000000
2024-03-02,8.66100000,9.46700000,8.57600000,9.46300000,12812343.11000000,115696178.27530999,294596,62387.90000000,62433.19000000,61561.12000000,61987.28000000,25534.73659000,1582566973.83409309,1641808,3433.42000000,3460.04000000,3390.01000000,3421.40000000,283984.94480000,971756920.45120883,926113,407.40000000,414.80000000,405.80000000,410.90000000,590018.54300000,241430398.07420000,317270,7.92760000,8.00554083,8.91983735,7.92760000,6.93536265,79.06633872,0.39948274,0.26378855,26.77187531,82.49727959,77.84556897,209.19392538,0.50316530,73.70737712,87.00000000,100.00000000,90542.00000000,pos,179,82.00000000,35.00000000,62.00000000,30.32180000,pos,193,92.00000000,30.00000000,71.00000000,39.34850000,neu,0,0.00000000,0.00000000,0.00000000,0.00000000,24,554.00000000,645.00000000,166000.00000000
