Open_time,Open,High,Low,Close,Volume,Quote asset volume,Number of trades
2024-01-03,8.40800000,8.57500000,6.50000000,7.62600000,14473959.94000000,111257397.35960000,391891
2024-01-04,7.62600000,7.99900000,7.46900000,7.87900000,7500909.27000000,58093267.24788000,147572
2024-01-05,7.87900000,7.95400000,7.17800000,7.45000000,7631254.61000000,57464488.34297000,174803
2024-01-06,7.44800000,7.44800000,6.94300000,7.13300000,4644445.49000000,33334458.02950000,105082
2024-01-07,7.13200000,7.32700000,6.81700000,6.89900000,4713975.33000000,33656989.53706000,101384
2024-01-08,6.89900000,7.50600000,6.51000000,7.48300000,8524497.42000000,59948921.26999000,182698
2024-01-09,7.48300000,7.52700000,6.90800000,7.12900000,6989170.94000000,50450272.49773000,180550
2024-01-10,7.12800000,8.09100000,6.80000000,7.99100000,9967541.16000000,73376438.34569000,249944
2024-01-11,7.99000000,8.58000000,7.85000000,8.14800000,12836225.08000000,105591164.49629000,328819
2024-01-12,8.14700000,8.21200000,7.31000000,7.56700000,8688542.18000000,68633258.49104000,228828
2024-01-13,7.56600000,7.75300000,7.37000000,7.61700000,4481440.54000000,34195669.73690000,107791
2024-01-14,7.61800000,7.69900000,7.31600000,7.31900000,3486216.30000000,26353006.01686000,89057
2024-01-15,7.31900000,7.69200000,7.30800000,7.50900000,4209668.41000000,31833661.86515000,105614
2024-01-16,7.50900000,7.68800000,7.33900000,7.49300000,4432209.01000000,33319212.32455000,97323
2024-01-17,7.49200000,7.59700000,7.25500000,7.35000000,4237892.42000000,31395225.87852000,81949
2024-01-18,7.34900000,7.39000000,6.82000000,7.01700000,6630266.60000000,47146515.31054000,130483
2024-01-19,7.01800000,7.05200000,6.57100000,6.89400000,6152238.35000000,42126916.44839000,124346
2024-01-20,6.89400000,6.95100000,6.77800000,6.91300000,3231059.21000000,22154318.50247000,58299
2024-01-21,6.91300000,6.97700000,6.80100000,6.81700000,2659737.77000000,18346874.87506000,52902
2024-01-22,6.81500000,6.84800000,6.29300000,6.34100000,8335532.94000000,54570902.11150000,151378
2024-01-23,6.34200000,6.45500000,5.97900000,6.36100000,7491685.08000000,46369574.99185000,133467
2024-01-24,6.36200000,6.54200000,6.26000000,6.46200000,4831265.54000000,30922131.93694000,87556
2024-01-25,6.46100000,6.57900000,6.34600000,6.43800000,3968963.16000000,25618185.03094000,76947
2024-01-26,6.43800000,6.73000000,6.36100000,6.67200000,5226941.00000000,34314904.02308000,82234
2024-01-27,6.67100000,6.75300000,6.53000000,6.66900000,3827612.45000000,25475777.78623000,55849
2024-01-28,6.66900000,6.87500000,6.56700000,6.87200000,5140566.57000000,34475266.02524000,81136
2024-01-29,6.87100000,7.29800000,6.70500000,7.03200000,9464149.78000000,65959353.79513000,143258
2024-01-30,7.03100000,7.08700000,6.82200000,6.83600000,5806026.21000000,40624292.72866000,98557
2024-01-31,6.83800000,6.88800000,6.58400000,6.65400000,5331313.42000000,36031075.31256000,102479
