Open_time,buy_1000x_high_coinbase,sell_1000x_high_coinbase,total_trades_coinbase
2024-02-12,59,34,29288
2024-02-13,14,19,27788
2024-02-14,93,62,37836
2024-02-15,50,57,39936
2024-02-16,14,23,26517
2024-02-17,16,19,21545
2024-02-18,34,55,25244
2024-02-19,20,23,34848
2024-02-20,13,49,39366
2024-02-21,23,30,36729
2024-02-22,23,27,28936
2024-02-23,39,25,28754
2024-02-24,52,20,24022
2024-02-25,41,24,21175
2024-02-26,51,68,35241
2024-02-27,75,62,49387
2024-02-28,136,94,79915
2024-02-29,130,47,74759
2024-03-01,63,51,66971
2024-03-02,87,100,90542
2024-03-03,93,73,92035
2024-03-04,77,91,143912
2024-03-05,162,205,202537
2024-03-06,85,97,128770
2024-03-07,46,50,109745
2024-03-08,62,93,114446
2024-03-09,23,18,69213
2024-03-10,25,29,61198
2024-03-11,41,65,107412
2024-03-12,40,49,99184
2024-03-13,64,81,92576
2024-03-14,102,133,145727
2024-03-15,88,83,147460
2024-03-16,30,49,88095
2024-03-17,36,48,71390
2024-03-18,34,43,84706
2024-03-19,120,126,135180
2024-03-20,185,117,112997
2024-03-21,64,81,66543
2024-03-22,57,66,68616
