Open_time,Open_BTCUSDT,High_BTCUSDT,Low_BTCUSDT,Close_BTCUSDT,Volume_BTCUSDT,Quote_asset_volume_BTCUSDT,Number_of_trades_BTCUSDT,Open_ETHUSDT,High_ETHUSDT,Low_ETHUSDT,Close_ETHUSDT,Volume_ETHUSDT,Quote_asset_volume_ETHUSDT,Number_of_trades_ETHUSDT,Open_BNBUSDT,High_BNBUSDT,Low_BNBUSDT,Close_BNBUSDT,Volume_BNBUSDT,Quote_asset_volume_BNBUSDT,Number_of_trades_BNBUSDT
2024-01-03,44946.91000000,45500.00000000,40750.00000000,42845.23000000,81194.55173000,3507104563.74423210,2658041,2355.35000000,2385.45000000,2100.00000000,2209.72000000,798729.48690000,1797597895.17990400,1351067,312.30000000,334.30000000,293.60000000,315.80000000,2132158.12200000,676220588.26090000,799701
2024-01-04,42845.23000000,44729.58000000,42613.77000000,44151.10000000,48038.06334000,2095095359.49363480,1819944,2209.72000000,2294.69000000,2201.91000000,2267.11000000,448844.05500000,1009072619.20677300,780771,315.90000000,324.30000000,310.90000000,323.70000000,1133774.95700000,361837483.32150000,418424
2024-01-05,44151.10000000,44357.46000000,42450.00000000,44145.11000000,48075.25327000,2100953924.36871550,2064845,2267.11000000,2277.21000000,2206.17000000,2268.78000000,405568.00060000,910367621.18166200,758963,323.60000000,327.30000000,308.60000000,317.50000000,1157056.27600000,368222963.79180000,388664
2024-01-06,44145.12000000,44214.42000000,43397.05000000,43968.32000000,17835.06144000,781212883.49160610,956642,2268.78000000,2270.00000000,2216.40000000,2240.78000000,194067.86560000,434867515.95915700,450441,317.60000000,317.60000000,300.20000000,307.50000000,909358.18300000,278569949.99340000,329261
2024-01-07,43968.32000000,44480.59000000,43572.09000000,43929.02000000,23023.85080000,1014635096.12414820,1109259,2240.77000000,2258.01000000,2203.46000000,2221.42000000,207138.69270000,463525159.25742900,516569,307.60000000,310.00000000,300.00000000,302.40000000,498367.08900000,152361829.15410000,206206
2024-01-08,43929.01000000,47248.99000000,43175.00000000,46951.04000000,72814.57589000,3298772150.68150740,2364464,2221.42000000,2358.20000000,2166.38000000,2330.44000000,539407.55470000,1221527410.44082200,1069027,302.50000000,308.10000000,290.00000000,303.70000000,984590.84200000,295303747.63480000,351442
2024-01-09,46951.04000000,47972.00000000,44748.67000000,46110.00000000,69927.66617000,3251442072.80839630,2637745,2330.43000000,2371.72000000,2226.78000000,2344.29000000,551454.99310000,1267764132.83607700,1196445,303.60000000,306.80000000,295.70000000,301.10000000,1401490.15500000,422526207.07980000,423666
2024-01-10,46110.00000000,47695.93000000,44300.36000000,46653.99000000,89911.41203000,4123809481.71276720,3133588,2344.30000000,2643.10000000,2339.59000000,2584.38000000,1038388.66600000,2536320982.38854300,2010707,301.10000000,310.00000000,288.80000000,305.80000000,1032565.47700000,308162176.01440000,366664
2024-01-11,46654.00000000,48969.48000000,45606.06000000,46339.16000000,87470.32960000,4105139605.02830200,2998451,2584.37000000,2689.39000000,2566.01000000,2618.01000000,838712.25770000,2194916359.19164600,1693755,305.70000000,316.80000000,301.40000000,308.20000000,1179601.54300000,365379468.00550000,410105
2024-01-12,46339.16000000,46515.53000000,41500.00000000,42782.73000000,86327.93707000,3827483735.57605690,2809192,2618.01000000,2717.32000000,2458.00000000,2522.54000000,887457.76270000,2318179618.08691200,1860636,308.20000000,313.00000000,289.10000000,296.60000000,1003340.77400000,306490270.79490000,353574
