Open_time,SMA_20,EMA_20,Upper_Band,Middle_Band,Lower_Band,RSI,MACD,Signal,ADX,SlowK,SlowD,CCI,ATR,MFI
2024-01-03,,,,,,,,,,,,,,
2024-01-04,,,,,,,,,,,,,,
2024-01-05,,,,,,,,,,,,,,
2024-01-06,,,,,,,,,,,,,,
2024-01-07,,,,,,,,,,,,,,
2024-01-08,,,,,,,,,,,,,,
2024-01-09,,,,,,,,,,,,,,
2024-01-10,,,,,,,,,,,,,,
2024-01-11,,,,,,,,,,,,,,
2024-01-12,,,,,,,,,,,,,,
2024-01-13,,,,,,,,,,,,,,
2024-01-14,,,,,,,,,,,,,,
2024-01-15,,,,,,,,,,,,,,
2024-01-16,,,,,,,,,,,,2.72315954,,
2024-01-17,,,,,,46.91136974,,,,,,-26.07787511,0.62157143,59.58532460
2024-01-18,,,,,,43.42587575,,,,,,-105.38556545,0.61788776,52.07439333
2024-01-19,,,,,,42.17926521,,,,,,-137.31462994,0.60811006,53.26721609
2024-01-20,,,,,,42.45407359,,,,20.83735910,28.77201268,-111.52274968,0.57703077,57.53196638
2024-01-21,,,,,,41.38383787,,,,17.61674718,22.10950081,-108.12418330,0.54838571,58.85262413
2024-01-22,7.32875000,7.32875000,8.18883415,7.32875000,6.46866585,36.47403269,,,,12.13277877,16.86229502,-151.83525883,0.54885816,49.92006765
2024-01-23,7.26550000,7.23658333,8.21068728,7.26550000,6.32031272,36.81324164,,,,10.53879876,13.42944157,-150.51891495,0.54365401,42.26514149
2024-01-24,7.19465000,7.16281349,8.15753427,7.19465000,6.23176573,38.59638401,,,,11.78508641,11.48555465,-105.56298201,0.52496444,37.85947403
2024-01-25,7.14405000,7.09378364,8.15319211,7.14405000,6.13490789,38.31965412,,,,17.93724886,13.42037801,-89.80311381,0.50410983,28.17104313
2024-01-26,7.12100000,7.05361377,8.15094388,7.12100000,6.09105612,42.63805193,,,,26.06311639,18.59515056,-60.53229140,0.49445913,37.29086850
2024-01-27,7.10950000,7.01698388,8.15413362,7.10950000,6.06486638,42.59687598,,,,33.24528246,25.74854924,-43.61076542,0.47506919,43.39227847
2024-01-28,7.07895000,7.00317589,8.11379636,7.07895000,6.04410364,46.37091330,,,,43.77043512,34.35961133,-13.80124005,0.46313568,49.86915859
2024-01-29,7.07410000,7.00592105,8.10887184,7.07410000,6.03932816,49.20553854,,,,51.28734111,42.76768623,49.80375547,0.47241170,53.26814619
2024-01-30,7.01635000,6.98973809,7.96535459,7.01635000,6.06734541,45.99811677,,,35.68166216,55.57078991,50.20952205,43.12261349,0.45759658,46.16198619
